# Incidents,Incident Reported Month,Incident Reported Quarter,Incident Reported Year,Neighbourhood Description (Occurrence),UCR Violation Type Group (Incident)
6,8,Q3,2011,MCCAULEY,Theft From Vehicle
6,9,Q3,2011,MCCAULEY,Theft From Vehicle
10,10,Q4,2011,MCCAULEY,Theft From Vehicle
11,11,Q4,2011,MCCAULEY,Theft From Vehicle
9,12,Q4,2011,MCCAULEY,Theft From Vehicle
3,1,Q1,2011,MCCAULEY,Theft Of Vehicle
5,2,Q1,2011,MCCAULEY,Theft Of Vehicle
5,3,Q1,2011,MCCAULEY,Theft Of Vehicle
4,4,Q2,2011,MCCAULEY,Theft Of Vehicle
3,5,Q2,2011,MCCAULEY,Theft Of Vehicle
3,6,Q2,2011,MCCAULEY,Theft Of Vehicle
14,7,Q3,2011,MCCAULEY,Theft Of Vehicle
5,8,Q3,2011,MCCAULEY,Theft Of Vehicle
5,10,Q4,2011,MCCAULEY,Theft Of Vehicle
7,11,Q4,2011,MCCAULEY,Theft Of Vehicle
6,12,Q4,2011,MCCAULEY,Theft Of Vehicle
1,5,Q2,2011,MCCAULEY,Theft Over $5000
1,10,Q4,2011,MCCAULEY,Theft Over $5000
1,11,Q4,2011,MCCAULEY,Theft Over $5000
2,2,Q1,2011,MCCONACHIE AREA,Break and Enter
2,6,Q2,2011,MCCONACHIE AREA,Break and Enter
2,9,Q3,2011,MCCONACHIE AREA,Break and Enter
1,10,Q4,2011,MCCONACHIE AREA,Theft From Vehicle
1,9,Q3,2011,MCCONACHIE AREA,Theft Of Vehicle
1,1,Q1,2011,MCINTYRE INDUSTRIAL,Assault
1,2,Q1,2011,MCINTYRE INDUSTRIAL,Assault
1,5,Q2,2011,MCINTYRE INDUSTRIAL,Assault
1,6,Q2,2011,MCINTYRE INDUSTRIAL,Assault
1,7,Q3,2011,MCINTYRE INDUSTRIAL,Assault
1,9,Q3,2011,MCINTYRE INDUSTRIAL,Assault
1,12,Q4,2011,MCINTYRE INDUSTRIAL,Assault
4,1,Q1,2011,MCINTYRE INDUSTRIAL,Break and Enter
4,4,Q2,2011,MCINTYRE INDUSTRIAL,Break and Enter
1,5,Q2,2011,MCINTYRE INDUSTRIAL,Break and Enter
1,6,Q2,2011,MCINTYRE INDUSTRIAL,Break and Enter
2,7,Q3,2011,MCINTYRE INDUSTRIAL,Break and Enter
1,9,Q3,2011,MCINTYRE INDUSTRIAL,Break and Enter
1,10,Q4,2011,MCINTYRE INDUSTRIAL,Break and Enter
1,11,Q4,2011,MCINTYRE INDUSTRIAL,Break and Enter
1,1,Q1,2011,MCINTYRE INDUSTRIAL,Sexual Assaults
2,7,Q3,2011,MCINTYRE INDUSTRIAL,Sexual Assaults
1,9,Q3,2011,MCINTYRE INDUSTRIAL,Sexual Assaults
1,2,Q1,2011,MCINTYRE INDUSTRIAL,Theft From Vehicle
1,3,Q1,2011,MCINTYRE INDUSTRIAL,Theft From Vehicle
3,5,Q2,2011,MCINTYRE INDUSTRIAL,Theft From Vehicle
1,6,Q2,2011,MCINTYRE INDUSTRIAL,Theft From Vehicle
3,10,Q4,2011,MCINTYRE INDUSTRIAL,Theft From Vehicle
2,11,Q4,2011,MCINTYRE INDUSTRIAL,Theft From Vehicle
1,12,Q4,2011,MCINTYRE INDUSTRIAL,Theft From Vehicle
1,1,Q1,2011,MCINTYRE INDUSTRIAL,Theft Of Vehicle
1,3,Q1,2011,MCINTYRE INDUSTRIAL,Theft Of Vehicle
1,4,Q2,2011,MCINTYRE INDUSTRIAL,Theft Of Vehicle
1,7,Q3,2011,MCINTYRE INDUSTRIAL,Theft Of Vehicle
1,5,Q2,2011,MCINTYRE INDUSTRIAL,Theft Over $5000
1,6,Q2,2011,MCINTYRE INDUSTRIAL,Theft Over $5000
1,6,Q2,2011,MCKERNAN,Assault
1,7,Q3,2011,MCKERNAN,Assault
2,8,Q3,2011,MCKERNAN,Assault
1,1,Q1,2011,MCKERNAN,Break and Enter
1,2,Q1,2011,MCKERNAN,Break and Enter
2,3,Q1,2011,MCKERNAN,Break and Enter
3,5,Q2,2011,MCKERNAN,Break and Enter
1,6,Q2,2011,MCKERNAN,Break and Enter
2,7,Q3,2011,MCKERNAN,Break and Enter
5,8,Q3,2011,MCKERNAN,Break and Enter
2,9,Q3,2011,MCKERNAN,Break and Enter
1,10,Q4,2011,MCKERNAN,Break and Enter
1,11,Q4,2011,MCKERNAN,Break and Enter
1,12,Q4,2011,MCKERNAN,Break and Enter
1,1,Q1,2011,MCKERNAN,Robbery
1,2,Q1,2011,MCKERNAN,Robbery
2,7,Q3,2011,MCKERNAN,Sexual Assaults
2,1,Q1,2011,MCKERNAN,Theft From Vehicle
1,2,Q1,2011,MCKERNAN,Theft From Vehicle
1,3,Q1,2011,MCKERNAN,Theft From Vehicle
2,5,Q2,2011,MCKERNAN,Theft From Vehicle
2,6,Q2,2011,MCKERNAN,Theft From Vehicle
5,7,Q3,2011,MCKERNAN,Theft From Vehicle
1,8,Q3,2011,MCKERNAN,Theft From Vehicle
1,9,Q3,2011,MCKERNAN,Theft From Vehicle
1,10,Q4,2011,MCKERNAN,Theft From Vehicle
1,4,Q2,2011,MCKERNAN,Theft Of Vehicle
3,5,Q2,2011,MCKERNAN,Theft Of Vehicle
2,6,Q2,2011,MCKERNAN,Theft Of Vehicle
3,7,Q3,2011,MCKERNAN,Theft Of Vehicle
2,8,Q3,2011,MCKERNAN,Theft Of Vehicle
1,9,Q3,2011,MCKERNAN,Theft Of Vehicle
1,10,Q4,2011,MCKERNAN,Theft Of Vehicle
2,1,Q1,2011,MCLEOD,Assault
1,2,Q1,2011,MCLEOD,Assault
2,4,Q2,2011,MCLEOD,Assault
1,6,Q2,2011,MCLEOD,Assault
1,7,Q3,2011,MCLEOD,Assault
1,8,Q3,2011,MCLEOD,Assault
1,10,Q4,2011,MCLEOD,Assault
1,12,Q4,2011,MCLEOD,Assault
1,1,Q1,2011,MCLEOD,Break and Enter
1,2,Q1,2011,MCLEOD,Break and Enter
1,4,Q2,2011,MCLEOD,Break and Enter
3,6,Q2,2011,MCLEOD,Break and Enter
1,11,Q4,2011,MCLEOD,Break and Enter
1,9,Q3,2011,MCLEOD,Robbery
2,12,Q4,2011,MCLEOD,Robbery
1,1,Q1,2011,MCLEOD,Theft From Vehicle
2,2,Q1,2011,MCLEOD,Theft From Vehicle
1,3,Q1,2011,MCLEOD,Theft From Vehicle
3,4,Q2,2011,MCLEOD,Theft From Vehicle
1,5,Q2,2011,MCLEOD,Theft From Vehicle
2,6,Q2,2011,MCLEOD,Theft From Vehicle
1,9,Q3,2011,MCLEOD,Theft From Vehicle
1,10,Q4,2011,MCLEOD,Theft From Vehicle
1,12,Q4,2011,MCLEOD,Theft From Vehicle
1,2,Q1,2011,MCLEOD,Theft Of Vehicle
2,6,Q2,2011,MCLEOD,Theft Of Vehicle
1,7,Q3,2011,MCLEOD,Theft Of Vehicle
1,10,Q4,2011,MCLEOD,Theft Of Vehicle
1,12,Q4,2011,MCLEOD,Theft Of Vehicle
1,5,Q2,2011,MCLEOD,Theft Over $5000
1,7,Q3,2011,MCNAMARA INDUSTRIAL,Assault
1,10,Q4,2011,MCNAMARA INDUSTRIAL,Assault
1,11,Q4,2011,MCNAMARA INDUSTRIAL,Assault
4,3,Q1,2011,MCNAMARA INDUSTRIAL,Break and Enter
2,4,Q2,2011,MCNAMARA INDUSTRIAL,Break and Enter
1,6,Q2,2011,MCNAMARA INDUSTRIAL,Break and Enter
1,7,Q3,2011,MCNAMARA INDUSTRIAL,Break and Enter
3,9,Q3,2011,MCNAMARA INDUSTRIAL,Break and Enter
4,10,Q4,2011,MCNAMARA INDUSTRIAL,Break and Enter
3,11,Q4,2011,MCNAMARA INDUSTRIAL,Break and Enter
1,10,Q4,2011,MCNAMARA INDUSTRIAL,Sexual Assaults
2,3,Q1,2011,MCNAMARA INDUSTRIAL,Theft From Vehicle
2,5,Q2,2011,MCNAMARA INDUSTRIAL,Theft From Vehicle
1,6,Q2,2011,MCNAMARA INDUSTRIAL,Theft From Vehicle
1,9,Q3,2011,MCNAMARA INDUSTRIAL,Theft From Vehicle
3,10,Q4,2011,MCNAMARA INDUSTRIAL,Theft From Vehicle
1,6,Q2,2011,MCNAMARA INDUSTRIAL,Theft Of Vehicle
1,8,Q3,2011,MCNAMARA INDUSTRIAL,Theft Of Vehicle
1,10,Q4,2011,MCNAMARA INDUSTRIAL,Theft Of Vehicle
2,11,Q4,2011,MCNAMARA INDUSTRIAL,Theft Of Vehicle
1,5,Q2,2011,MCNAMARA INDUSTRIAL,Theft Over $5000
1,1,Q1,2011,MCQUEEN,Assault
1,8,Q3,2011,MCQUEEN,Assault
2,9,Q3,2011,MCQUEEN,Assault
1,10,Q4,2011,MCQUEEN,Assault
1,11,Q4,2011,MCQUEEN,Assault
1,1,Q1,2011,MCQUEEN,Break and Enter
1,5,Q2,2011,MCQUEEN,Break and Enter
1,7,Q3,2011,MCQUEEN,Break and Enter
2,8,Q3,2011,MCQUEEN,Break and Enter
1,11,Q4,2011,MCQUEEN,Break and Enter
1,3,Q1,2011,MCQUEEN,Robbery
1,2,Q1,2011,MCQUEEN,Sexual Assaults
1,4,Q2,2011,MCQUEEN,Theft From Vehicle
1,6,Q2,2011,MCQUEEN,Theft From Vehicle
1,8,Q3,2011,MCQUEEN,Theft From Vehicle
3,10,Q4,2011,MCQUEEN,Theft From Vehicle
2,12,Q4,2011,MCQUEEN,Theft From Vehicle
1,4,Q2,2011,MCQUEEN,Theft Of Vehicle
2,5,Q2,2011,MCQUEEN,Theft Of Vehicle
2,6,Q2,2011,MCQUEEN,Theft Of Vehicle
2,8,Q3,2011,MCQUEEN,Theft Of Vehicle
1,10,Q4,2011,MCQUEEN,Theft Of Vehicle
1,11,Q4,2011,MCQUEEN,Theft Of Vehicle
1,2,Q1,2011,MEADOWLARK PARK,Assault
1,3,Q1,2011,MEADOWLARK PARK,Assault
1,4,Q2,2011,MEADOWLARK PARK,Assault
1,5,Q2,2011,MEADOWLARK PARK,Assault
1,9,Q3,2011,MEADOWLARK PARK,Assault
1,12,Q4,2011,MEADOWLARK PARK,Assault
1,3,Q1,2011,MEADOWLARK PARK,Break and Enter
1,4,Q2,2011,MEADOWLARK PARK,Break and Enter
2,5,Q2,2011,MEADOWLARK PARK,Break and Enter
2,7,Q3,2011,MEADOWLARK PARK,Break and Enter
2,9,Q3,2011,MEADOWLARK PARK,Break and Enter
1,10,Q4,2011,MEADOWLARK PARK,Break and Enter
2,11,Q4,2011,MEADOWLARK PARK,Break and Enter
3,12,Q4,2011,MEADOWLARK PARK,Break and Enter
1,6,Q2,2011,MEADOWLARK PARK,Robbery
1,11,Q4,2011,MEADOWLARK PARK,Robbery
1,1,Q1,2011,MEADOWLARK PARK,Theft From Vehicle
2,3,Q1,2011,MEADOWLARK PARK,Theft From Vehicle
1,4,Q2,2011,MEADOWLARK PARK,Theft From Vehicle
2,5,Q2,2011,MEADOWLARK PARK,Theft From Vehicle
3,6,Q2,2011,MEADOWLARK PARK,Theft From Vehicle
3,8,Q3,2011,MEADOWLARK PARK,Theft From Vehicle
1,9,Q3,2011,MEADOWLARK PARK,Theft From Vehicle
1,10,Q4,2011,MEADOWLARK PARK,Theft From Vehicle
5,11,Q4,2011,MEADOWLARK PARK,Theft From Vehicle
2,12,Q4,2011,MEADOWLARK PARK,Theft From Vehicle
2,2,Q1,2011,MEADOWLARK PARK,Theft Of Vehicle
1,4,Q2,2011,MEADOWLARK PARK,Theft Of Vehicle
1,6,Q2,2011,MEADOWLARK PARK,Theft Of Vehicle
2,7,Q3,2011,MEADOWLARK PARK,Theft Of Vehicle
1,10,Q4,2011,MEADOWLARK PARK,Theft Of Vehicle
1,11,Q4,2011,MEADOWLARK PARK,Theft Of Vehicle
1,12,Q4,2011,MEADOWLARK PARK,Theft Of Vehicle
1,2,Q1,2011,MENISA,Assault
2,4,Q2,2011,MENISA,Assault
2,12,Q4,2011,MENISA,Assault
1,2,Q1,2011,MENISA,Break and Enter
2,3,Q1,2011,MENISA,Break and Enter
1,6,Q2,2011,MENISA,Break and Enter
1,8,Q3,2011,MENISA,Break and Enter
2,9,Q3,2011,MENISA,Break and Enter
3,10,Q4,2011,MENISA,Break and Enter
1,11,Q4,2011,MENISA,Break and Enter
1,12,Q4,2011,MENISA,Break and Enter
1,1,Q1,2011,MENISA,Robbery
1,1,Q1,2011,MENISA,Theft From Vehicle
1,3,Q1,2011,MENISA,Theft From Vehicle
2,4,Q2,2011,MENISA,Theft From Vehicle
1,5,Q2,2011,MENISA,Theft From Vehicle
3,7,Q3,2011,MENISA,Theft From Vehicle
3,8,Q3,2011,MENISA,Theft From Vehicle
2,10,Q4,2011,MENISA,Theft From Vehicle
1,11,Q4,2011,MENISA,Theft From Vehicle
1,3,Q1,2011,MENISA,Theft Of Vehicle
1,5,Q2,2011,MENISA,Theft Of Vehicle
1,6,Q2,2011,MENISA,Theft Of Vehicle
4,11,Q4,2011,MENISA,Theft Of Vehicle
1,2,Q1,2011,MEYOKUMIN,Assault
1,3,Q1,2011,MEYOKUMIN,Assault
1,4,Q2,2011,MEYOKUMIN,Assault
3,5,Q2,2011,MEYOKUMIN,Assault
1,6,Q2,2011,MEYOKUMIN,Assault
2,7,Q3,2011,MEYOKUMIN,Assault
1,8,Q3,2011,MEYOKUMIN,Assault
1,10,Q4,2011,MEYOKUMIN,Assault
2,1,Q1,2011,MEYOKUMIN,Break and Enter
1,2,Q1,2011,MEYOKUMIN,Break and Enter
1,3,Q1,2011,MEYOKUMIN,Break and Enter
1,7,Q3,2011,MEYOKUMIN,Break and Enter
1,11,Q4,2011,MEYOKUMIN,Break and Enter
1,12,Q4,2011,MEYOKUMIN,Break and Enter
1,2,Q1,2011,MEYOKUMIN,Robbery
1,9,Q3,2011,MEYOKUMIN,Robbery
1,1,Q1,2011,MEYOKUMIN,Theft From Vehicle
5,2,Q1,2011,MEYOKUMIN,Theft From Vehicle
2,3,Q1,2011,MEYOKUMIN,Theft From Vehicle
2,5,Q2,2011,MEYOKUMIN,Theft From Vehicle
3,6,Q2,2011,MEYOKUMIN,Theft From Vehicle
2,7,Q3,2011,MEYOKUMIN,Theft From Vehicle
2,8,Q3,2011,MEYOKUMIN,Theft From Vehicle
4,10,Q4,2011,MEYOKUMIN,Theft From Vehicle
1,12,Q4,2011,MEYOKUMIN,Theft From Vehicle
1,1,Q1,2011,MEYOKUMIN,Theft Of Vehicle
1,3,Q1,2011,MEYOKUMIN,Theft Of Vehicle
1,5,Q2,2011,MEYOKUMIN,Theft Of Vehicle
3,9,Q3,2011,MEYOKUMIN,Theft Of Vehicle
3,10,Q4,2011,MEYOKUMIN,Theft Of Vehicle
1,11,Q4,2011,MEYOKUMIN,Theft Of Vehicle
1,12,Q4,2011,MEYOKUMIN,Theft Of Vehicle
1,2,Q1,2011,MEYONOHK,Assault
1,5,Q2,2011,MEYONOHK,Assault
1,6,Q2,2011,MEYONOHK,Assault
1,11,Q4,2011,MEYONOHK,Assault
2,12,Q4,2011,MEYONOHK,Assault
1,1,Q1,2011,MEYONOHK,Break and Enter
1,4,Q2,2011,MEYONOHK,Break and Enter
1,5,Q2,2011,MEYONOHK,Break and Enter
1,11,Q4,2011,MEYONOHK,Break and Enter
1,12,Q4,2011,MEYONOHK,Break and Enter
1,10,Q4,2011,MEYONOHK,Robbery
1,1,Q1,2011,MEYONOHK,Theft From Vehicle
3,4,Q2,2011,MEYONOHK,Theft From Vehicle
1,6,Q2,2011,MEYONOHK,Theft From Vehicle
2,7,Q3,2011,MEYONOHK,Theft From Vehicle
4,10,Q4,2011,MEYONOHK,Theft From Vehicle
1,11,Q4,2011,MEYONOHK,Theft From Vehicle
1,12,Q4,2011,MEYONOHK,Theft From Vehicle
1,1,Q1,2011,MEYONOHK,Theft Of Vehicle
1,4,Q2,2011,MEYONOHK,Theft Of Vehicle
2,8,Q3,2011,MEYONOHK,Theft Of Vehicle
1,10,Q4,2011,MEYONOHK,Theft Of Vehicle
1,12,Q4,2011,MEYONOHK,Theft Of Vehicle
1,1,Q1,2011,MICHAELS PARK,Assault
1,2,Q1,2011,MICHAELS PARK,Assault
1,4,Q2,2011,MICHAELS PARK,Assault
1,5,Q2,2011,MICHAELS PARK,Assault
1,6,Q2,2011,MICHAELS PARK,Assault
1,7,Q3,2011,MICHAELS PARK,Assault
1,8,Q3,2011,MICHAELS PARK,Assault
1,3,Q1,2011,MICHAELS PARK,Break and Enter
1,6,Q2,2011,MICHAELS PARK,Break and Enter
1,9,Q3,2011,MICHAELS PARK,Break and Enter
2,12,Q4,2011,MICHAELS PARK,Break and Enter
1,4,Q2,2011,MICHAELS PARK,Robbery
1,9,Q3,2011,MICHAELS PARK,Robbery
3,1,Q1,2011,MICHAELS PARK,Theft From Vehicle
1,2,Q1,2011,MICHAELS PARK,Theft From Vehicle
1,4,Q2,2011,MICHAELS PARK,Theft From Vehicle
2,5,Q2,2011,MICHAELS PARK,Theft From Vehicle
4,6,Q2,2011,MICHAELS PARK,Theft From Vehicle
1,7,Q3,2011,MICHAELS PARK,Theft From Vehicle
2,8,Q3,2011,MICHAELS PARK,Theft From Vehicle
1,9,Q3,2011,MICHAELS PARK,Theft From Vehicle
2,10,Q4,2011,MICHAELS PARK,Theft From Vehicle
5,11,Q4,2011,MICHAELS PARK,Theft From Vehicle
3,12,Q4,2011,MICHAELS PARK,Theft From Vehicle
1,2,Q1,2011,MICHAELS PARK,Theft Of Vehicle
3,3,Q1,2011,MICHAELS PARK,Theft Of Vehicle
2,9,Q3,2011,MICHAELS PARK,Theft Of Vehicle
2,12,Q4,2011,MICHAELS PARK,Theft Of Vehicle
1,6,Q2,2011,MILL CREEK RAVINE NORTH,Assault
2,4,Q2,2011,MILL CREEK RAVINE NORTH,Theft From Vehicle
1,6,Q2,2011,MILL CREEK RAVINE SOUTH,Assault
1,2,Q1,2011,MILL CREEK RAVINE SOUTH,Break and Enter
1,10,Q4,2011,MILL CREEK RAVINE SOUTH,Theft From Vehicle
1,12,Q4,2011,MILL CREEK RAVINE SOUTH,Theft From Vehicle
1,2,Q1,2011,MILL WOODS GOLF COURSE,Theft From Vehicle
1,12,Q4,2011,MILL WOODS GOLF COURSE,Theft From Vehicle
1,9,Q3,2011,MILL WOODS GOLF COURSE,Theft Of Vehicle
1,12,Q4,2011,MILL WOODS GOLF COURSE,Theft Of Vehicle
1,1,Q1,2011,MILL WOODS PARK,Assault
1,6,Q2,2011,MILL WOODS PARK,Assault
1,9,Q3,2011,MILL WOODS PARK,Assault
1,10,Q4,2011,MILL WOODS PARK,Assault
1,11,Q4,2011,MILL WOODS PARK,Assault
1,11,Q4,2011,MILL WOODS PARK,Break and Enter
1,7,Q3,2011,MILL WOODS PARK,Robbery
1,4,Q2,2011,MILL WOODS PARK,Sexual Assaults
1,7,Q3,2011,MILL WOODS PARK,Sexual Assaults
1,12,Q4,2011,MILL WOODS PARK,Sexual Assaults
1,4,Q2,2011,MILL WOODS PARK,Theft From Vehicle
1,5,Q2,2011,MILL WOODS PARK,Theft From Vehicle
3,6,Q2,2011,MILL WOODS PARK,Theft From Vehicle
2,8,Q3,2011,MILL WOODS PARK,Theft From Vehicle
1,9,Q3,2011,MILL WOODS PARK,Theft From Vehicle
2,10,Q4,2011,MILL WOODS PARK,Theft From Vehicle
1,3,Q1,2011,MILL WOODS PARK,Theft Of Vehicle
1,7,Q3,2011,MILL WOODS PARK,Theft Of Vehicle
1,11,Q4,2011,MILL WOODS PARK,Theft Of Vehicle
1,1,Q1,2011,MILL WOODS TOWN CENTRE,Assault
7,2,Q1,2011,MILL WOODS TOWN CENTRE,Assault
5,3,Q1,2011,MILL WOODS TOWN CENTRE,Assault
1,4,Q2,2011,MILL WOODS TOWN CENTRE,Assault
2,5,Q2,2011,MILL WOODS TOWN CENTRE,Assault
5,6,Q2,2011,MILL WOODS TOWN CENTRE,Assault
1,7,Q3,2011,MILL WOODS TOWN CENTRE,Assault
2,8,Q3,2011,MILL WOODS TOWN CENTRE,Assault
5,10,Q4,2011,MILL WOODS TOWN CENTRE,Assault
4,11,Q4,2011,MILL WOODS TOWN CENTRE,Assault
1,1,Q1,2011,MILL WOODS TOWN CENTRE,Break and Enter
1,2,Q1,2011,MILL WOODS TOWN CENTRE,Break and Enter
1,7,Q3,2011,MILL WOODS TOWN CENTRE,Break and Enter
1,10,Q4,2011,MILL WOODS TOWN CENTRE,Break and Enter
1,11,Q4,2011,MILL WOODS TOWN CENTRE,Break and Enter
3,2,Q1,2011,MILL WOODS TOWN CENTRE,Robbery
2,3,Q1,2011,MILL WOODS TOWN CENTRE,Robbery
1,4,Q2,2011,MILL WOODS TOWN CENTRE,Robbery
3,5,Q2,2011,MILL WOODS TOWN CENTRE,Robbery
1,6,Q2,2011,MILL WOODS TOWN CENTRE,Robbery
2,10,Q4,2011,MILL WOODS TOWN CENTRE,Robbery
2,11,Q4,2011,MILL WOODS TOWN CENTRE,Robbery
2,12,Q4,2011,MILL WOODS TOWN CENTRE,Robbery
1,5,Q2,2011,MILL WOODS TOWN CENTRE,Sexual Assaults
2,10,Q4,2011,MILL WOODS TOWN CENTRE,Sexual Assaults
3,1,Q1,2011,MILL WOODS TOWN CENTRE,Theft From Vehicle
1,4,Q2,2011,MILL WOODS TOWN CENTRE,Theft From Vehicle
2,5,Q2,2011,MILL WOODS TOWN CENTRE,Theft From Vehicle
3,9,Q3,2011,MILL WOODS TOWN CENTRE,Theft From Vehicle
3,10,Q4,2011,MILL WOODS TOWN CENTRE,Theft From Vehicle
2,1,Q1,2011,MILL WOODS TOWN CENTRE,Theft Of Vehicle
1,2,Q1,2011,MILL WOODS TOWN CENTRE,Theft Of Vehicle
2,3,Q1,2011,MILL WOODS TOWN CENTRE,Theft Of Vehicle
1,4,Q2,2011,MILL WOODS TOWN CENTRE,Theft Of Vehicle
2,5,Q2,2011,MILL WOODS TOWN CENTRE,Theft Of Vehicle
2,6,Q2,2011,MILL WOODS TOWN CENTRE,Theft Of Vehicle
2,7,Q3,2011,MILL WOODS TOWN CENTRE,Theft Of Vehicle
2,8,Q3,2011,MILL WOODS TOWN CENTRE,Theft Of Vehicle
1,9,Q3,2011,MILL WOODS TOWN CENTRE,Theft Of Vehicle
1,11,Q4,2011,MILL WOODS TOWN CENTRE,Theft Of Vehicle
4,1,Q1,2011,MILLER,Assault
2,3,Q1,2011,MILLER,Assault
1,5,Q2,2011,MILLER,Assault
3,7,Q3,2011,MILLER,Assault
1,8,Q3,2011,MILLER,Assault
2,9,Q3,2011,MILLER,Assault
2,10,Q4,2011,MILLER,Assault
5,11,Q4,2011,MILLER,Assault
1,2,Q1,2011,MILLER,Break and Enter
1,3,Q1,2011,MILLER,Break and Enter
1,5,Q2,2011,MILLER,Break and Enter
1,6,Q2,2011,MILLER,Break and Enter
1,7,Q3,2011,MILLER,Break and Enter
2,8,Q3,2011,MILLER,Break and Enter
1,10,Q4,2011,MILLER,Break and Enter
1,11,Q4,2011,MILLER,Break and Enter
2,12,Q4,2011,MILLER,Break and Enter
1,3,Q1,2011,MILLER,Robbery
5,2,Q1,2011,MILLER,Theft From Vehicle
1,3,Q1,2011,MILLER,Theft From Vehicle
2,4,Q2,2011,MILLER,Theft From Vehicle
2,6,Q2,2011,MILLER,Theft From Vehicle
2,7,Q3,2011,MILLER,Theft From Vehicle
1,9,Q3,2011,MILLER,Theft From Vehicle
2,1,Q1,2011,MILLER,Theft Of Vehicle
1,3,Q1,2011,MILLER,Theft Of Vehicle
2,6,Q2,2011,MILLER,Theft Of Vehicle
1,7,Q3,2011,MILLER,Theft Of Vehicle
1,10,Q4,2011,MILLER,Theft Of Vehicle
1,12,Q4,2011,MILLER,Theft Of Vehicle
1,10,Q4,2011,MILLER,Theft Over $5000
1,2,Q1,2011,MINCHAU,Assault
1,3,Q1,2011,MINCHAU,Assault
3,5,Q2,2011,MINCHAU,Assault
1,2,Q1,2011,MINCHAU,Break and Enter
1,6,Q2,2011,MINCHAU,Break and Enter
1,7,Q3,2011,MINCHAU,Break and Enter
2,8,Q3,2011,MINCHAU,Break and Enter
1,9,Q3,2011,MINCHAU,Break and Enter
1,12,Q4,2011,MINCHAU,Break and Enter
1,8,Q3,2011,MINCHAU,Robbery
1,10,Q4,2011,MINCHAU,Sexual Assaults
2,2,Q1,2011,MINCHAU,Theft From Vehicle
2,4,Q2,2011,MINCHAU,Theft From Vehicle
1,5,Q2,2011,MINCHAU,Theft From Vehicle
2,6,Q2,2011,MINCHAU,Theft From Vehicle
3,7,Q3,2011,MINCHAU,Theft From Vehicle
3,8,Q3,2011,MINCHAU,Theft From Vehicle
1,9,Q3,2011,MINCHAU,Theft From Vehicle
9,10,Q4,2011,MINCHAU,Theft From Vehicle
1,3,Q1,2011,MINCHAU,Theft Of Vehicle
3,6,Q2,2011,MINCHAU,Theft Of Vehicle
2,7,Q3,2011,MINCHAU,Theft Of Vehicle
1,8,Q3,2011,MINCHAU,Theft Of Vehicle
2,10,Q4,2011,MINCHAU,Theft Of Vehicle
1,11,Q4,2011,MISTATIM INDUSTRIAL,Assault
1,1,Q1,2011,MISTATIM INDUSTRIAL,Break and Enter
2,2,Q1,2011,MISTATIM INDUSTRIAL,Break and Enter
3,3,Q1,2011,MISTATIM INDUSTRIAL,Break and Enter
3,5,Q2,2011,MISTATIM INDUSTRIAL,Break and Enter
2,7,Q3,2011,MISTATIM INDUSTRIAL,Break and Enter
6,8,Q3,2011,MISTATIM INDUSTRIAL,Break and Enter
2,1,Q1,2011,MONTROSE,Break and Enter
4,9,Q3,2011,MISTATIM INDUSTRIAL,Break and Enter
1,10,Q4,2011,MISTATIM INDUSTRIAL,Break and Enter
2,11,Q4,2011,MISTATIM INDUSTRIAL,Break and Enter
1,12,Q4,2011,MISTATIM INDUSTRIAL,Break and Enter
1,7,Q3,2011,MISTATIM INDUSTRIAL,Homicide
4,1,Q1,2011,MISTATIM INDUSTRIAL,Theft From Vehicle
3,2,Q1,2011,MISTATIM INDUSTRIAL,Theft From Vehicle
3,4,Q2,2011,MISTATIM INDUSTRIAL,Theft From Vehicle
1,5,Q2,2011,MISTATIM INDUSTRIAL,Theft From Vehicle
3,6,Q2,2011,MISTATIM INDUSTRIAL,Theft From Vehicle
3,7,Q3,2011,MISTATIM INDUSTRIAL,Theft From Vehicle
1,10,Q4,2011,MISTATIM INDUSTRIAL,Theft From Vehicle
3,12,Q4,2011,MISTATIM INDUSTRIAL,Theft From Vehicle
8,1,Q1,2011,MISTATIM INDUSTRIAL,Theft Of Vehicle
2,2,Q1,2011,MISTATIM INDUSTRIAL,Theft Of Vehicle
8,3,Q1,2011,MISTATIM INDUSTRIAL,Theft Of Vehicle
4,4,Q2,2011,MISTATIM INDUSTRIAL,Theft Of Vehicle
2,5,Q2,2011,MISTATIM INDUSTRIAL,Theft Of Vehicle
2,6,Q2,2011,MISTATIM INDUSTRIAL,Theft Of Vehicle
3,8,Q3,2011,MISTATIM INDUSTRIAL,Theft Of Vehicle
1,9,Q3,2011,MISTATIM INDUSTRIAL,Theft Of Vehicle
1,10,Q4,2011,MISTATIM INDUSTRIAL,Theft Of Vehicle
1,12,Q4,2011,MISTATIM INDUSTRIAL,Theft Of Vehicle
1,1,Q1,2011,MISTATIM INDUSTRIAL,Theft Over $5000
1,5,Q2,2011,MISTATIM INDUSTRIAL,Theft Over $5000
1,10,Q4,2011,MISTATIM INDUSTRIAL,Theft Over $5000
2,1,Q1,2011,MITCHELL INDUSTRIAL,Break and Enter
1,3,Q1,2011,MITCHELL INDUSTRIAL,Break and Enter
1,4,Q2,2011,MITCHELL INDUSTRIAL,Break and Enter
1,7,Q3,2011,MITCHELL INDUSTRIAL,Break and Enter
