WARD,NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD_NAME,PRESCHOOL,KINDERGARTEN-GR.6,GR.7-GR.9,GR.10-GR.12,POST_SECONDARY_STUDENT,HOMEMAKER,EMPLOYED_0-30_HRS,EMPLOYED_30+_HRS,UNEMPLOYED,RETIRED,PERMANENTLY_UNABLE_TO_WORK,NO_RESPONSE
Ward 10,5210,GRANDVIEW HEIGHTS,40,76,30,41,54,35,66,316,11,140,4,331
Ward 10,5220,GREENFIELD,156,220,143,148,204,131,268,1239,51,653,26,377
Ward 10,5250,KEHEEWIN,73,176,61,75,158,105,201,1031,47,531,41,352
Ward 10,5260,LANSDOWNE,30,64,31,28,57,32,69,365,16,177,13,335
Ward 10,5270,LENDRUM PLACE,74,83,47,59,110,52,107,591,42,297,20,401
Ward 10,5280,MALMO PLAINS,223,222,71,51,444,94,137,736,83,316,17,819
Ward 10,5310,PARKALLEN,89,113,54,39,221,39,162,872,29,188,25,472
Ward 10,5320,PLEASANTVIEW,142,169,68,76,248,112,246,1661,73,703,40,691
Ward 10,5360,RIDEAU PARK,48,76,50,46,72,51,111,685,39,427,69,401
Ward 10,5400,RIVER VALLEY WHITEMUD,0,0,0,0,0,0,0,0,0,0,0,0
Ward 10,5430,ROYAL GARDENS,201,267,121,172,219,135,243,1241,106,383,40,408
Ward 10,5460,SKYRATTLER,67,83,27,28,85,54,122,823,39,266,15,507
Ward 10,5470,STEINHAUER,93,140,68,74,132,89,138,741,35,311,22,270
Ward 10,5490,SWEET GRASS,119,235,106,93,157,128,211,1011,62,302,18,343
Ward 10,5530,UNIVERSITY OF ALBERTA FARM,0,0,0,0,0,0,0,0,0,0,0,0
Ward 10,5540,WESTBROOK ESTATES,27,120,52,46,77,73,72,407,36,197,0,100
Ward 10,5550,WHITEMUD CREEK RAVINE NORTH,0,0,0,0,0,0,0,0,0,0,0,0
Ward 10,5560,WHITEMUD CREEK RAVINE SOUTH,0,0,0,0,0,0,0,0,0,0,0,0
Ward 11,6010,ARGYLL,32,47,19,25,35,22,54,366,18,107,11,78
Ward 11,6020,AVONMORE,100,124,53,57,81,68,153,947,33,359,24,206
Ward 11,6090,CORONET ADDITION INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
Ward 11,6100,CORONET INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
Ward 11,6110,CPR IRVINE,0,0,0,0,0,0,0,0,0,0,0,0
Ward 11,6160,DAVIES INDUSTRIAL EAST,0,0,0,0,0,0,0,0,0,0,0,0
Ward 11,6170,DAVIES INDUSTRIAL WEST,0,0,0,0,0,0,0,0,0,0,0,0
Ward 11,6190,EDMONTON RESEARCH AND DEVELOPMENT PARK,0,0,0,0,0,0,0,0,0,0,0,0
Ward 11,6195,SOUTH EDMONTON COMMON,0,0,0,0,0,0,0,0,0,0,0,0
Ward 11,6200,EKOTA,177,275,119,109,122,109,184,1168,84,275,45,74
Ward 11,6250,GAINER INDUSTRIAL,10,5,2,3,16,8,16,166,4,60,4,3
Ward 11,6260,GIRARD INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
Ward 11,6280,GREENVIEW,154,230,111,104,140,124,227,1272,70,339,38,219
Ward 11,6290,HAZELDEAN,150,197,94,80,102,87,229,1523,92,299,47,358
Ward 11,6300,HILLVIEW,182,287,111,120,142,151,227,1570,104,350,52,278
Ward 11,6340,KAMEYOSEK,101,231,110,76,97,77,157,965,88,421,33,600
Ward 11,6360,KING EDWARD PARK,194,215,89,94,172,132,306,1909,136,375,66,809
Ward 11,6400,LEE RIDGE,200,261,134,128,90,146,246,1107,87,320,59,41
Ward 11,6410,MAPLE RIDGE,88,106,48,38,24,82,103,900,72,231,74,39
Ward 11,6420,MAPLE RIDGE INDUSTRIAL,1,6,2,2,2,3,3,17,2,16,0,2
Ward 11,6430,MCINTYRE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
Ward 11,6450,MENISA,98,186,85,85,104,77,194,1142,90,264,31,182
Ward 11,6460,MEYOKUMIN,174,259,114,109,131,126,216,1250,102,259,46,307
Ward 11,6470,MEYONOHK,151,237,83,89,94,107,210,1306,101,287,42,274
Ward 11,6480,MICHAELS PARK,96,190,71,74,100,100,160,1005,68,267,31,37
Ward 11,6492,MILL CREEK RAVINE SOUTH,0,0,0,0,0,0,0,0,0,0,0,0
Ward 11,6500,MILL WOODS GOLF COURSE,0,0,0,0,0,0,0,0,0,0,0,0
Ward 11,6510,MILL WOODS PARK,0,0,0,0,0,0,0,0,0,0,0,0
Ward 11,6520,MILL WOODS TOWN CENTRE,40,32,3,12,24,21,54,400,31,365,16,311
Ward 11,6540,MORRIS INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
Ward 11,6560,PAPASCHASE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
Ward 11,6570,PARSONS INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
Ward 11,6590,PYLYPOW INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
Ward 11,6600,RICHFIELD,171,470,193,170,162,183,274,1313,107,300,34,246
Ward 11,6610,RITCHIE,157,164,45,39,195,84,237,2175,99,382,48,618
Ward 11,6640,ROPER INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
Ward 11,6650,ROSEDALE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
Ward 11,6670,SAKAW,199,315,174,154,171,159,272,1816,163,383,50,199
Ward 11,6680,SATOO,151,281,139,118,116,116,223,1390,93,453,45,389
Ward 11,6690,SOUTHEAST INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
Ward 11,6700,STRATHCONA INDUSTRIAL PARK,0,0,0,0,0,0,0,0,0,0,0,0
Ward 11,6720,TAWA,79,88,35,38,53,56,109,732,29,480,22,194
Ward 11,6750,TIPASKAN,189,265,107,99,96,148,204,1250,128,246,41,364
Ward 11,6760,TWEDDLE PLACE,188,358,145,152,116,182,275,1375,96,346,34,51
Ward 11,6780,WEIR INDUSTRIAL,2,0,3,2,0,2,3,35,13,6,2,2
Ward 12,6030,BISSET,117,255,106,92,155,143,231,1623,115,246,49,685
Ward 12,6140,CRAWFORD PLAINS,222,360,192,197,162,192,289,2073,137,304,76,301
Ward 12,6150,DALY GROVE,177,320,133,143,132,103,248,1684,189,275,56,176
Ward 12,6211,ELLERSLIE,287,577,183,152,203,274,299,2923,109,180,29,730
Ward 12,6213,SUMMERSIDE,835,1014,310,256,358,474,475,4753,136,322,22,2359
Ward 12,6214,ELLERSLIE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
Ward 12,6216,THE ORCHARDS AT ELLERSLIE,87,52,17,11,30,40,30,420,9,16,3,67
Ward 12,6330,JACKSON HEIGHTS,155,332,148,192,227,170,258,1744,100,462,45,270
Ward 12,6370,KINISKI GARDENS,267,493,230,282,342,266,372,3254,201,424,67,554
Ward 12,6390,LARKSPUR,208,418,189,210,271,194,265,2356,122,354,39,496
Ward 12,6440,MEADOWS AREA,0,0,0,0,0,0,0,0,0,0,0,0
Ward 12,6441,MAPLE,27,21,8,6,5,16,12,141,0,6,1,66
Ward 12,6442,SILVER BERRY,683,949,296,260,313,401,498,3641,188,366,39,978
Ward 12,6443,TAMARACK,295,409,117,89,83,175,212,1700,69,111,15,263
Ward 12,6444,LAUREL,327,390,164,128,133,223,201,1751,70,250,14,447
Ward 12,6530,MINCHAU,155,281,111,112,119,130,220,1548,82,282,30,254
Ward 12,6580,POLLARD MEADOWS,250,334,144,139,142,180,240,1867,141,335,57,872
Ward 12,6660,RURAL SOUTH EAST,5,5,1,0,16,3,12,137,2,30,1,29
Ward 12,6661,CHARLESWORTH,274,402,138,138,139,233,192,1929,41,94,8,581
Ward 12,6662,WALKER,382,425,120,112,145,241,163,2339,63,103,10,321
Ward 12,6665,ANTHONY HENDAY SOUTHEAST,0,0,0,0,0,0,0,0,0,0,0,0
Ward 12,6770,WEINLOS,172,250,114,135,119,165,249,1461,103,321,46,353
Ward 12,6790,WILD ROSE,412,788,352,333,393,370,479,3563,183,560,46,914
