NEIGHBOURHOOD,STRUCTURE_TYPE,POPULATION
CLAREVIEW CAMPUS,Rooming house/collective residence,0
CLAREVIEW CAMPUS,Hotel or motel,0
CLAREVIEW CAMPUS,Other residential,0
CLAREVIEW CAMPUS,No Response,0
CLOVERDALE,Single-detached house,414
CLOVERDALE,Duplex/triplex/fourplex,28
CLOVERDALE,Row house,105
CLOVERDALE,Apartment with 5 or more stories,0
CLOVERDALE,Apartment with less than 5 stories,267
CLOVERDALE,Manufactured home/mobile home,0
CLOVERDALE,Rooming house/collective residence,0
CLOVERDALE,Hotel or motel,0
CLOVERDALE,Other residential,0
CLOVERDALE,No Response,0
CORONET ADDITION INDUSTRIAL,Single-detached house,0
CORONET ADDITION INDUSTRIAL,Duplex/triplex/fourplex,0
CORONET ADDITION INDUSTRIAL,Row house,0
CORONET ADDITION INDUSTRIAL,Apartment with 5 or more stories,0
CORONET ADDITION INDUSTRIAL,Apartment with less than 5 stories,0
CORONET ADDITION INDUSTRIAL,Manufactured home/mobile home,0
CORONET ADDITION INDUSTRIAL,Rooming house/collective residence,0
CORONET ADDITION INDUSTRIAL,Hotel or motel,0
CORONET ADDITION INDUSTRIAL,Other residential,0
CORONET ADDITION INDUSTRIAL,No Response,0
CORONET INDUSTRIAL,Single-detached house,0
CORONET INDUSTRIAL,Duplex/triplex/fourplex,0
CORONET INDUSTRIAL,Row house,0
CORONET INDUSTRIAL,Apartment with 5 or more stories,0
CORONET INDUSTRIAL,Apartment with less than 5 stories,0
CORONET INDUSTRIAL,Manufactured home/mobile home,0
CORONET INDUSTRIAL,Rooming house/collective residence,0
CORONET INDUSTRIAL,Hotel or motel,0
CORONET INDUSTRIAL,Other residential,0
CORONET INDUSTRIAL,No Response,0
CPR IRVINE,Single-detached house,0
CPR IRVINE,Duplex/triplex/fourplex,0
CPR IRVINE,Row house,0
CPR IRVINE,Apartment with 5 or more stories,1
CPR IRVINE,Apartment with less than 5 stories,186
CPR IRVINE,Manufactured home/mobile home,0
CPR IRVINE,Rooming house/collective residence,0
CPR IRVINE,Hotel or motel,0
CPR IRVINE,Other residential,0
CPR IRVINE,No Response,0
CRAWFORD PLAINS,Single-detached house,3556
CRAWFORD PLAINS,Duplex/triplex/fourplex,160
CRAWFORD PLAINS,Row house,391
CRAWFORD PLAINS,Apartment with 5 or more stories,0
CRAWFORD PLAINS,Apartment with less than 5 stories,299
CRAWFORD PLAINS,Manufactured home/mobile home,0
CRAWFORD PLAINS,Rooming house/collective residence,4
CRAWFORD PLAINS,Hotel or motel,0
CRAWFORD PLAINS,Other residential,0
CRAWFORD PLAINS,No Response,0
CRESTWOOD,Single-detached house,2100
CRESTWOOD,Duplex/triplex/fourplex,12
CRESTWOOD,Row house,23
CRESTWOOD,Apartment with 5 or more stories,0
CRESTWOOD,Apartment with less than 5 stories,157
CRESTWOOD,Manufactured home/mobile home,0
CRESTWOOD,Rooming house/collective residence,2
CRESTWOOD,Hotel or motel,0
CRESTWOOD,Other residential,4
CRESTWOOD,No Response,0
CROMDALE,Single-detached house,416
CROMDALE,Duplex/triplex/fourplex,11
CROMDALE,Row house,0
CROMDALE,Apartment with 5 or more stories,291
CROMDALE,Apartment with less than 5 stories,1355
CROMDALE,Manufactured home/mobile home,1
CROMDALE,Rooming house/collective residence,0
CROMDALE,Hotel or motel,0
CROMDALE,Other residential,5
CROMDALE,No Response,0
CUMBERLAND,Single-detached house,5309
CUMBERLAND,Duplex/triplex/fourplex,0
CUMBERLAND,Row house,502
CUMBERLAND,Apartment with 5 or more stories,0
CUMBERLAND,Apartment with less than 5 stories,301
CUMBERLAND,Manufactured home/mobile home,0
CUMBERLAND,Rooming house/collective residence,0
CUMBERLAND,Hotel or motel,0
CUMBERLAND,Other residential,0
CUMBERLAND,No Response,0
DALY GROVE,Single-detached house,2673
DALY GROVE,Duplex/triplex/fourplex,220
DALY GROVE,Row house,479
DALY GROVE,Apartment with 5 or more stories,0
DALY GROVE,Apartment with less than 5 stories,236
DALY GROVE,Manufactured home/mobile home,0
DALY GROVE,Rooming house/collective residence,0
DALY GROVE,Hotel or motel,0
DALY GROVE,Other residential,0
DALY GROVE,No Response,0
DAVIES INDUSTRIAL EAST,Single-detached house,0
DAVIES INDUSTRIAL EAST,Duplex/triplex/fourplex,0
DAVIES INDUSTRIAL EAST,Row house,0
DAVIES INDUSTRIAL EAST,Apartment with 5 or more stories,0
DAVIES INDUSTRIAL EAST,Apartment with less than 5 stories,0
DAVIES INDUSTRIAL EAST,Manufactured home/mobile home,0
DAVIES INDUSTRIAL EAST,Rooming house/collective residence,0
DAVIES INDUSTRIAL EAST,Hotel or motel,0
DAVIES INDUSTRIAL EAST,Other residential,0
DAVIES INDUSTRIAL EAST,No Response,0
DECHENE,Single-detached house,1717
DECHENE,Duplex/triplex/fourplex,116
DECHENE,Row house,0
DECHENE,Apartment with 5 or more stories,0
DECHENE,Apartment with less than 5 stories,0
DECHENE,Manufactured home/mobile home,0
DECHENE,Rooming house/collective residence,0
DECHENE,Hotel or motel,0
DECHENE,Other residential,0
DECHENE,No Response,0
DELTON,Single-detached house,1646
DELTON,Duplex/triplex/fourplex,291
DELTON,Row house,0
DELTON,Apartment with 5 or more stories,0
DELTON,Apartment with less than 5 stories,65
DELTON,Manufactured home/mobile home,0
DELTON,Rooming house/collective residence,4
DELTON,Hotel or motel,0
DELTON,Other residential,10
DELTON,No Response,0
DELWOOD,Single-detached house,3027
DELWOOD,Duplex/triplex/fourplex,274
DELWOOD,Row house,111
DELWOOD,Apartment with 5 or more stories,0
DELWOOD,Apartment with less than 5 stories,44
DELWOOD,Manufactured home/mobile home,0
DELWOOD,Rooming house/collective residence,0
DELWOOD,Hotel or motel,0
DELWOOD,Other residential,0
DELWOOD,No Response,0
DOMINION INDUSTRIAL,Single-detached house,0
DOMINION INDUSTRIAL,Duplex/triplex/fourplex,0
DOMINION INDUSTRIAL,Row house,0
DOMINION INDUSTRIAL,Apartment with 5 or more stories,0
DOMINION INDUSTRIAL,Apartment with less than 5 stories,0
DOMINION INDUSTRIAL,Manufactured home/mobile home,0
DOMINION INDUSTRIAL,Rooming house/collective residence,0
DOMINION INDUSTRIAL,Hotel or motel,0
DOMINION INDUSTRIAL,Other residential,0
DOMINION INDUSTRIAL,No Response,0
DONSDALE,Single-detached house,1156
DONSDALE,Duplex/triplex/fourplex,0
DONSDALE,Row house,0
DONSDALE,Apartment with 5 or more stories,0
DONSDALE,Apartment with less than 5 stories,135
DONSDALE,Manufactured home/mobile home,0
DONSDALE,Rooming house/collective residence,0
DONSDALE,Hotel or motel,0
DONSDALE,Other residential,0
DONSDALE,No Response,0
DOVERCOURT,Single-detached house,1764
DOVERCOURT,Duplex/triplex/fourplex,54
DOVERCOURT,Row house,245
DOVERCOURT,Apartment with 5 or more stories,0
DOVERCOURT,Apartment with less than 5 stories,0
DOVERCOURT,Manufactured home/mobile home,0
DOVERCOURT,Rooming house/collective residence,0
DOVERCOURT,Hotel or motel,0
DOVERCOURT,Other residential,0
DOVERCOURT,No Response,0
DOWNTOWN,Single-detached house,862
DOWNTOWN,Duplex/triplex/fourplex,86
DOWNTOWN,Row house,8
DOWNTOWN,Apartment with 5 or more stories,8892
DOWNTOWN,Apartment with less than 5 stories,1162
DOWNTOWN,Manufactured home/mobile home,0
DOWNTOWN,Rooming house/collective residence,356
DOWNTOWN,Hotel or motel,206
DOWNTOWN,Other residential,0
DOWNTOWN,No Response,0
DUGGAN,Single-detached house,2877
DUGGAN,Duplex/triplex/fourplex,0
DUGGAN,Row house,595
DUGGAN,Apartment with 5 or more stories,3
DUGGAN,Apartment with less than 5 stories,1225
DUGGAN,Manufactured home/mobile home,0
DUGGAN,Rooming house/collective residence,3
DUGGAN,Hotel or motel,0
DUGGAN,Other residential,0
DUGGAN,No Response,0
DUNLUCE,Single-detached house,3633
DUNLUCE,Duplex/triplex/fourplex,495
DUNLUCE,Row house,1419
DUNLUCE,Apartment with 5 or more stories,0
DUNLUCE,Apartment with less than 5 stories,991
DUNLUCE,Manufactured home/mobile home,203
DUNLUCE,Rooming house/collective residence,10
DUNLUCE,Hotel or motel,0
DUNLUCE,Other residential,0
DUNLUCE,No Response,0
EASTGATE BUSINESS PARK,Single-detached house,0
EASTGATE BUSINESS PARK,Duplex/triplex/fourplex,0
EASTGATE BUSINESS PARK,Row house,0
EASTGATE BUSINESS PARK,Apartment with 5 or more stories,0
EASTGATE BUSINESS PARK,Apartment with less than 5 stories,0
EASTGATE BUSINESS PARK,Manufactured home/mobile home,0
EASTGATE BUSINESS PARK,Rooming house/collective residence,0
EASTGATE BUSINESS PARK,Hotel or motel,0
EASTGATE BUSINESS PARK,Other residential,0
EASTGATE BUSINESS PARK,No Response,0
EASTWOOD,Single-detached house,1639
EASTWOOD,Duplex/triplex/fourplex,1011
EASTWOOD,Row house,41
EASTWOOD,Apartment with 5 or more stories,0
EASTWOOD,Apartment with less than 5 stories,1387
EASTWOOD,Manufactured home/mobile home,0
EASTWOOD,Rooming house/collective residence,51
EASTWOOD,Hotel or motel,0
EASTWOOD,Other residential,0
EASTWOOD,No Response,0
EAUX CLAIRES,Single-detached house,1878
EAUX CLAIRES,Duplex/triplex/fourplex,288
EAUX CLAIRES,Row house,0
EAUX CLAIRES,Apartment with 5 or more stories,0
EAUX CLAIRES,Apartment with less than 5 stories,662
EAUX CLAIRES,Manufactured home/mobile home,0
EAUX CLAIRES,Rooming house/collective residence,0
EAUX CLAIRES,Hotel or motel,0
EAUX CLAIRES,Other residential,0
EAUX CLAIRES,No Response,0
EBBERS INDUSTRIAL,Single-detached house,0
EBBERS INDUSTRIAL,Duplex/triplex/fourplex,0
EBBERS INDUSTRIAL,Row house,0
EBBERS INDUSTRIAL,Apartment with 5 or more stories,0
EBBERS INDUSTRIAL,Apartment with less than 5 stories,0
EBBERS INDUSTRIAL,Manufactured home/mobile home,0
EBBERS INDUSTRIAL,Rooming house/collective residence,0
EBBERS INDUSTRIAL,Hotel or motel,0
EBBERS INDUSTRIAL,Other residential,0
EBBERS INDUSTRIAL,No Response,0
ED RESEARCH AND DEVELOPMENT PARK,Single-detached house,0
ED RESEARCH AND DEVELOPMENT PARK,Duplex/triplex/fourplex,0
ED RESEARCH AND DEVELOPMENT PARK,Row house,0
ED RESEARCH AND DEVELOPMENT PARK,Apartment with 5 or more stories,0
ED RESEARCH AND DEVELOPMENT PARK,Apartment with less than 5 stories,0
ED RESEARCH AND DEVELOPMENT PARK,Manufactured home/mobile home,0
ED RESEARCH AND DEVELOPMENT PARK,Rooming house/collective residence,0
ED RESEARCH AND DEVELOPMENT PARK,Hotel or motel,0
ED RESEARCH AND DEVELOPMENT PARK,Other residential,0
ED RESEARCH AND DEVELOPMENT PARK,No Response,0
EDMISTON INDUSTRIAL,Single-detached house,0
EDMISTON INDUSTRIAL,Duplex/triplex/fourplex,0
EDMISTON INDUSTRIAL,Row house,0
EDMISTON INDUSTRIAL,Apartment with 5 or more stories,0
EDMISTON INDUSTRIAL,Apartment with less than 5 stories,0
EDMISTON INDUSTRIAL,Manufactured home/mobile home,0
EDMISTON INDUSTRIAL,Rooming house/collective residence,0
EDMISTON INDUSTRIAL,Hotel or motel,0
EDMISTON INDUSTRIAL,Other residential,0
EDMISTON INDUSTRIAL,No Response,0
EDMONTON MUNICIPAL AIRPORT,Single-detached house,0
EDMONTON MUNICIPAL AIRPORT,Duplex/triplex/fourplex,0
EDMONTON MUNICIPAL AIRPORT,Row house,0
EDMONTON MUNICIPAL AIRPORT,Apartment with 5 or more stories,0
EDMONTON MUNICIPAL AIRPORT,Apartment with less than 5 stories,0
EDMONTON MUNICIPAL AIRPORT,Manufactured home/mobile home,0
EDMONTON MUNICIPAL AIRPORT,Rooming house/collective residence,0
EDMONTON MUNICIPAL AIRPORT,Hotel or motel,0
EDMONTON MUNICIPAL AIRPORT,Other residential,0
EDMONTON MUNICIPAL AIRPORT,No Response,0
EDMONTON NORTHLANDS,Single-detached house,0
EDMONTON NORTHLANDS,Duplex/triplex/fourplex,0
EDMONTON NORTHLANDS,Row house,0
EDMONTON NORTHLANDS,Apartment with 5 or more stories,0
EDMONTON NORTHLANDS,Apartment with less than 5 stories,0
EDMONTON NORTHLANDS,Manufactured home/mobile home,0
EDMONTON NORTHLANDS,Rooming house/collective residence,123
EDMONTON NORTHLANDS,Hotel or motel,0
EDMONTON NORTHLANDS,Other residential,0
EDMONTON NORTHLANDS,No Response,0
EKOTA,Single-detached house,1578
EKOTA,Duplex/triplex/fourplex,109
EKOTA,Row house,731
EKOTA,Apartment with 5 or more stories,0
EKOTA,Apartment with less than 5 stories,237
EKOTA,Manufactured home/mobile home,0
EKOTA,Rooming house/collective residence,0
EKOTA,Hotel or motel,0
EKOTA,Other residential,0
EKOTA,No Response,0
ELLERSLIE,Single-detached house,3460
ELLERSLIE,Duplex/triplex/fourplex,510
ELLERSLIE,Row house,620
ELLERSLIE,Apartment with 5 or more stories,0
ELLERSLIE,Apartment with less than 5 stories,676
ELLERSLIE,Manufactured home/mobile home,0
ELLERSLIE,Rooming house/collective residence,0
ELLERSLIE,Hotel or motel,0
ELLERSLIE,Other residential,0
ELLERSLIE,No Response,0
ELMWOOD,Single-detached house,1896
ELMWOOD,Duplex/triplex/fourplex,602
ELMWOOD,Row house,0
ELMWOOD,Apartment with 5 or more stories,0
ELMWOOD,Apartment with less than 5 stories,77
ELMWOOD,Manufactured home/mobile home,0
ELMWOOD,Rooming house/collective residence,62
ELMWOOD,Hotel or motel,0
ELMWOOD,Other residential,0
ELMWOOD,No Response,0
ELMWOOD PARK,Single-detached house,738
ELMWOOD PARK,Duplex/triplex/fourplex,101
ELMWOOD PARK,Row house,0
ELMWOOD PARK,Apartment with 5 or more stories,0
ELMWOOD PARK,Apartment with less than 5 stories,337
ELMWOOD PARK,Manufactured home/mobile home,0
ELMWOOD PARK,Rooming house/collective residence,0
ELMWOOD PARK,Hotel or motel,1
ELMWOOD PARK,Other residential,2
ELMWOOD PARK,No Response,0
ELSINORE,Single-detached house,1850
ELSINORE,Duplex/triplex/fourplex,316
ELSINORE,Row house,3
ELSINORE,Apartment with 5 or more stories,0
ELSINORE,Apartment with less than 5 stories,0
ELSINORE,Manufactured home/mobile home,0
ELSINORE,Rooming house/collective residence,0
ELSINORE,Hotel or motel,0
ELSINORE,Other residential,0
ELSINORE,No Response,0
EMPIRE PARK,Single-detached house,142
EMPIRE PARK,Duplex/triplex/fourplex,551
EMPIRE PARK,Row house,1296
EMPIRE PARK,Apartment with 5 or more stories,1139
EMPIRE PARK,Apartment with less than 5 stories,1680
EMPIRE PARK,Manufactured home/mobile home,0
EMPIRE PARK,Rooming house/collective residence,0
EMPIRE PARK,Hotel or motel,0
EMPIRE PARK,Other residential,0
EMPIRE PARK,No Response,0
ERMINESKIN,Single-detached house,1014
ERMINESKIN,Duplex/triplex/fourplex,444
ERMINESKIN,Row house,747
ERMINESKIN,Apartment with 5 or more stories,1058
ERMINESKIN,Apartment with less than 5 stories,1532
ERMINESKIN,Manufactured home/mobile home,0
ERMINESKIN,Rooming house/collective residence,0
ERMINESKIN,Hotel or motel,0
ERMINESKIN,Other residential,0
ERMINESKIN,No Response,0
EVANSDALE,Single-detached house,3088
EVANSDALE,Duplex/triplex/fourplex,129
EVANSDALE,Row house,1354
EVANSDALE,Apartment with 5 or more stories,0
EVANSDALE,Apartment with less than 5 stories,1076
EVANSDALE,Manufactured home/mobile home,0
EVANSDALE,Rooming house/collective residence,0
EVANSDALE,Hotel or motel,0
EVANSDALE,Other residential,0
EVANSDALE,No Response,0
EVERGREEN,Single-detached house,0
EVERGREEN,Duplex/triplex/fourplex,0
EVERGREEN,Row house,0
EVERGREEN,Apartment with 5 or more stories,0
EVERGREEN,Apartment with less than 5 stories,0
EVERGREEN,Manufactured home/mobile home,1486
EVERGREEN,Rooming house/collective residence,0
EVERGREEN,Hotel or motel,0
EVERGREEN,Other residential,0
EVERGREEN,No Response,0
FALCONER HEIGHTS,Single-detached house,1550
FALCONER HEIGHTS,Duplex/triplex/fourplex,93
FALCONER HEIGHTS,Row house,76
FALCONER HEIGHTS,Apartment with 5 or more stories,0
FALCONER HEIGHTS,Apartment with less than 5 stories,317
FALCONER HEIGHTS,Manufactured home/mobile home,0
FALCONER HEIGHTS,Rooming house/collective residence,0
FALCONER HEIGHTS,Hotel or motel,0
FALCONER HEIGHTS,Other residential,0
FALCONER HEIGHTS,No Response,0
FOREST HEIGHTS,Single-detached house,2994
FOREST HEIGHTS,Duplex/triplex/fourplex,529
FOREST HEIGHTS,Row house,0
FOREST HEIGHTS,Apartment with 5 or more stories,0
FOREST HEIGHTS,Apartment with less than 5 stories,417
FOREST HEIGHTS,Manufactured home/mobile home,0
FOREST HEIGHTS,Rooming house/collective residence,0
FOREST HEIGHTS,Hotel or motel,0
FOREST HEIGHTS,Other residential,0
FOREST HEIGHTS,No Response,0
FRASER,Single-detached house,2303
FRASER,Duplex/triplex/fourplex,230
FRASER,Row house,216
FRASER,Apartment with 5 or more stories,0
FRASER,Apartment with less than 5 stories,539
FRASER,Manufactured home/mobile home,0
FRASER,Rooming house/collective residence,19
FRASER,Hotel or motel,0
FRASER,Other residential,0
FRASER,No Response,0
FULTON PLACE,Single-detached house,2055
FULTON PLACE,Duplex/triplex/fourplex,20
FULTON PLACE,Row house,0
FULTON PLACE,Apartment with 5 or more stories,0
FULTON PLACE,Apartment with less than 5 stories,172
FULTON PLACE,Manufactured home/mobile home,0
FULTON PLACE,Rooming house/collective residence,0
FULTON PLACE,Hotel or motel,0
FULTON PLACE,Other residential,0
FULTON PLACE,No Response,0
GAINER INDUSTRIAL,Single-detached house,0
GAINER INDUSTRIAL,Duplex/triplex/fourplex,0
GAINER INDUSTRIAL,Row house,0
GAINER INDUSTRIAL,Apartment with 5 or more stories,0
GAINER INDUSTRIAL,Apartment with less than 5 stories,86
GAINER INDUSTRIAL,Manufactured home/mobile home,0
GAINER INDUSTRIAL,Rooming house/collective residence,0
GAINER INDUSTRIAL,Hotel or motel,0
GAINER INDUSTRIAL,Other residential,0
GAINER INDUSTRIAL,No Response,0
GARIEPY,Single-detached house,1457
GARIEPY,Duplex/triplex/fourplex,250
GARIEPY,Row house,74
GARIEPY,Apartment with 5 or more stories,0
GARIEPY,Apartment with less than 5 stories,165
GARIEPY,Manufactured home/mobile home,0
GARIEPY,Rooming house/collective residence,0
GARIEPY,Hotel or motel,0
GARIEPY,Other residential,0
GARIEPY,No Response,0
GARNEAU,Single-detached house,1630
GARNEAU,Duplex/triplex/fourplex,217
GARNEAU,Row house,133
GARNEAU,Apartment with 5 or more stories,4700
GARNEAU,Apartment with less than 5 stories,2450
GARNEAU,Manufactured home/mobile home,0
GARNEAU,Rooming house/collective residence,48
GARNEAU,Hotel or motel,0
GARNEAU,Other residential,0
GARNEAU,No Response,0
GARSIDE INDUSTRIAL,Single-detached house,0
GARSIDE INDUSTRIAL,Duplex/triplex/fourplex,0
GARSIDE INDUSTRIAL,Row house,0
GARSIDE INDUSTRIAL,Apartment with 5 or more stories,0
GARSIDE INDUSTRIAL,Apartment with less than 5 stories,0
GARSIDE INDUSTRIAL,Manufactured home/mobile home,0
GARSIDE INDUSTRIAL,Rooming house/collective residence,0
GARSIDE INDUSTRIAL,Hotel or motel,0
GARSIDE INDUSTRIAL,Other residential,0
GARSIDE INDUSTRIAL,No Response,0
GIRARD INDUSTRIAL,Single-detached house,0
GIRARD INDUSTRIAL,Duplex/triplex/fourplex,0
GIRARD INDUSTRIAL,Row house,0
GIRARD INDUSTRIAL,Apartment with 5 or more stories,0
GIRARD INDUSTRIAL,Apartment with less than 5 stories,0
GIRARD INDUSTRIAL,Manufactured home/mobile home,0
GIRARD INDUSTRIAL,Rooming house/collective residence,0
GIRARD INDUSTRIAL,Hotel or motel,0
GIRARD INDUSTRIAL,Other residential,0
GIRARD INDUSTRIAL,No Response,0
GLASTONBURY,Single-detached house,4250
GLASTONBURY,Duplex/triplex/fourplex,642
GLASTONBURY,Row house,165
GLASTONBURY,Apartment with 5 or more stories,190
GLASTONBURY,Apartment with less than 5 stories,399
GLASTONBURY,Manufactured home/mobile home,0
GLASTONBURY,Rooming house/collective residence,0
GLASTONBURY,Hotel or motel,0
GLASTONBURY,Other residential,0
GLASTONBURY,No Response,0
GLENGARRY,Single-detached house,1790
GLENGARRY,Duplex/triplex/fourplex,217
GLENGARRY,Row house,692
GLENGARRY,Apartment with 5 or more stories,265
GLENGARRY,Apartment with less than 5 stories,30
GLENGARRY,Manufactured home/mobile home,0
GLENGARRY,Rooming house/collective residence,0
GLENGARRY,Hotel or motel,0
GLENGARRY,Other residential,0
GLENGARRY,No Response,0
GLENORA,Single-detached house,2887
GLENORA,Duplex/triplex/fourplex,14
GLENORA,Row house,0
GLENORA,Apartment with 5 or more stories,418
GLENORA,Apartment with less than 5 stories,100
GLENORA,Manufactured home/mobile home,0
GLENORA,Rooming house/collective residence,0
GLENORA,Hotel or motel,0
GLENORA,Other residential,0
GLENORA,No Response,0
GLENWOOD,Single-detached house,2703
GLENWOOD,Duplex/triplex/fourplex,153
GLENWOOD,Row house,52
GLENWOOD,Apartment with 5 or more stories,436
GLENWOOD,Apartment with less than 5 stories,1577
GLENWOOD,Manufactured home/mobile home,0
GLENWOOD,Rooming house/collective residence,0
GLENWOOD,Hotel or motel,0
GLENWOOD,Other residential,0
GLENWOOD,No Response,0
GOLD BAR,Single-detached house,2099
GOLD BAR,Duplex/triplex/fourplex,10
GOLD BAR,Row house,571
GOLD BAR,Apartment with 5 or more stories,0
GOLD BAR,Apartment with less than 5 stories,37
GOLD BAR,Manufactured home/mobile home,0
GOLD BAR,Rooming house/collective residence,0
GOLD BAR,Hotel or motel,0
GOLD BAR,Other residential,0
GOLD BAR,No Response,0
GORMAN INDUSTRIAL EAST,Single-detached house,0
GORMAN INDUSTRIAL EAST,Duplex/triplex/fourplex,0
GORMAN INDUSTRIAL EAST,Row house,0
GORMAN INDUSTRIAL EAST,Apartment with 5 or more stories,0
GORMAN INDUSTRIAL EAST,Apartment with less than 5 stories,0
GORMAN INDUSTRIAL EAST,Manufactured home/mobile home,0
GORMAN INDUSTRIAL EAST,Rooming house/collective residence,0
GORMAN INDUSTRIAL EAST,Hotel or motel,0
GORMAN INDUSTRIAL EAST,Other residential,0
GORMAN INDUSTRIAL EAST,No Response,0
GRANDVIEW HEIGHTS,Single-detached house,1114
GRANDVIEW HEIGHTS,Duplex/triplex/fourplex,0
GRANDVIEW HEIGHTS,Row house,0
GRANDVIEW HEIGHTS,Apartment with 5 or more stories,0
GRANDVIEW HEIGHTS,Apartment with less than 5 stories,23
GRANDVIEW HEIGHTS,Manufactured home/mobile home,0
GRANDVIEW HEIGHTS,Rooming house/collective residence,0
GRANDVIEW HEIGHTS,Hotel or motel,0
GRANDVIEW HEIGHTS,Other residential,0
GRANDVIEW HEIGHTS,No Response,0
GRANVILLE,Single-detached house,0
GRANVILLE,Duplex/triplex/fourplex,0
GRANVILLE,Row house,0
GRANVILLE,Apartment with 5 or more stories,0
GRANVILLE,Apartment with less than 5 stories,0
GRANVILLE,Manufactured home/mobile home,0
GRANVILLE,Rooming house/collective residence,0
GRANVILLE,Hotel or motel,0
GRANVILLE,Other residential,0
GRANVILLE,No Response,0
GREENFIELD,Single-detached house,3556
GREENFIELD,Duplex/triplex/fourplex,172
GREENFIELD,Row house,0
GREENFIELD,Apartment with 5 or more stories,0
GREENFIELD,Apartment with less than 5 stories,77
GREENFIELD,Manufactured home/mobile home,0
GREENFIELD,Rooming house/collective residence,0
GREENFIELD,Hotel or motel,0
GREENFIELD,Other residential,0
GREENFIELD,No Response,0
GREENVIEW,Single-detached house,2261
GREENVIEW,Duplex/triplex/fourplex,270
GREENVIEW,Row house,267
GREENVIEW,Apartment with 5 or more stories,0
GREENVIEW,Apartment with less than 5 stories,92
GREENVIEW,Manufactured home/mobile home,0
GREENVIEW,Rooming house/collective residence,0
GREENVIEW,Hotel or motel,0
GREENVIEW,Other residential,0
GREENVIEW,No Response,0
GRIESBACH,Single-detached house,1114
GRIESBACH,Duplex/triplex/fourplex,568
GRIESBACH,Row house,625
GRIESBACH,Apartment with 5 or more stories,1
GRIESBACH,Apartment with less than 5 stories,305
GRIESBACH,Manufactured home/mobile home,0
GRIESBACH,Rooming house/collective residence,0
GRIESBACH,Hotel or motel,0
GRIESBACH,Other residential,0
GRIESBACH,No Response,0
GROVENOR,Single-detached house,1844
GROVENOR,Duplex/triplex/fourplex,231
GROVENOR,Row house,29
GROVENOR,Apartment with 5 or more stories,0
GROVENOR,Apartment with less than 5 stories,4
GROVENOR,Manufactured home/mobile home,0
GROVENOR,Rooming house/collective residence,0
GROVENOR,Hotel or motel,0
GROVENOR,Other residential,0
GROVENOR,No Response,0
HADDOW,Single-detached house,3481
HADDOW,Duplex/triplex/fourplex,301
HADDOW,Row house,69
HADDOW,Apartment with 5 or more stories,193
HADDOW,Apartment with less than 5 stories,217
HADDOW,Manufactured home/mobile home,0
HADDOW,Rooming house/collective residence,0
HADDOW,Hotel or motel,0
HADDOW,Other residential,0
HADDOW,No Response,0
HAIRSINE,Single-detached house,754
HAIRSINE,Duplex/triplex/fourplex,247
HAIRSINE,Row house,1224
HAIRSINE,Apartment with 5 or more stories,0
HAIRSINE,Apartment with less than 5 stories,331
HAIRSINE,Manufactured home/mobile home,0
HAIRSINE,Rooming house/collective residence,0
HAIRSINE,Hotel or motel,0
HAIRSINE,Other residential,0
HAIRSINE,No Response,0
HAWIN PARK ESTATE INDUSTRIAL,Single-detached house,0
HAWIN PARK ESTATE INDUSTRIAL,Duplex/triplex/fourplex,0
HAWIN PARK ESTATE INDUSTRIAL,Row house,0
HAWIN PARK ESTATE INDUSTRIAL,Apartment with 5 or more stories,0
HAWIN PARK ESTATE INDUSTRIAL,Apartment with less than 5 stories,0
HAWIN PARK ESTATE INDUSTRIAL,Manufactured home/mobile home,0
HAWIN PARK ESTATE INDUSTRIAL,Rooming house/collective residence,0
HAWIN PARK ESTATE INDUSTRIAL,Hotel or motel,0
HAWIN PARK ESTATE INDUSTRIAL,Other residential,0
HAWIN PARK ESTATE INDUSTRIAL,No Response,0
HAZELDEAN,Single-detached house,2557
HAZELDEAN,Duplex/triplex/fourplex,230
HAZELDEAN,Row house,311
HAZELDEAN,Apartment with 5 or more stories,0
HAZELDEAN,Apartment with less than 5 stories,0
HAZELDEAN,Manufactured home/mobile home,0
HAZELDEAN,Rooming house/collective residence,0
HAZELDEAN,Hotel or motel,0
HAZELDEAN,Other residential,0
HAZELDEAN,No Response,0
HENDERSON ESTATES,Single-detached house,1874
HENDERSON ESTATES,Duplex/triplex/fourplex,88
HENDERSON ESTATES,Row house,0
HENDERSON ESTATES,Apartment with 5 or more stories,0
HENDERSON ESTATES,Apartment with less than 5 stories,0
HENDERSON ESTATES,Manufactured home/mobile home,0
HENDERSON ESTATES,Rooming house/collective residence,0
HENDERSON ESTATES,Hotel or motel,0
HENDERSON ESTATES,Other residential,0
HENDERSON ESTATES,No Response,0
HERITAGE VALLEY AREA,Single-detached house,63
HERITAGE VALLEY AREA,Duplex/triplex/fourplex,0
HERITAGE VALLEY AREA,Row house,0
HERITAGE VALLEY AREA,Apartment with 5 or more stories,0
HERITAGE VALLEY AREA,Apartment with less than 5 stories,0
HERITAGE VALLEY AREA,Manufactured home/mobile home,35
HERITAGE VALLEY AREA,Rooming house/collective residence,0
HERITAGE VALLEY AREA,Hotel or motel,0
HERITAGE VALLEY AREA,Other residential,0
HERITAGE VALLEY AREA,No Response,0
HIGH PARK,Single-detached house,1453
HIGH PARK,Duplex/triplex/fourplex,27
HIGH PARK,Row house,0
HIGH PARK,Apartment with 5 or more stories,0
HIGH PARK,Apartment with less than 5 stories,9
