Ward,Neighbourhood Number,Neighbourhood Name,Preschool,Kindergarten - Gr.6,Gr.7 - Gr.9,Gr.10 - Gr.12,Post Secondary Student,Homemaker,Employed 0-30 Hours,Employed 30+ Hours,Unemployed,Retired,Permanently Unable to Work,No Response
WARD 3,2410,KILKENNY,145,280,130,128,122,119,223,1245,196,573,79,2367
WARD 4,2611,CY BECKER,49,37,11,4,6,4,16,124,7,4,7,414
WARD 8,6491,MILL CREEK RAVINE NORTH,0,0,0,0,0,0,0,0,0,0,0,0
WARD 10,5170,EMPIRE PARK,194,204,83,76,401,113,236,1340,204,377,48,1626
WARD 10,5400,RIVER VALLEY WHITEMUD,0,0,0,0,0,0,0,0,0,0,0,0
WARD 7,2580,NORTHMOUNT,83,132,64,54,47,65,121,580,97,519,21,1409
WARD 8,6550,OTTEWELL,194,231,112,136,151,114,319,1613,167,943,48,1701
WARD 8,5520,UNIVERSITY OF ALBERTA,0,0,0,0,0,0,0,0,0,0,0,0
WARD 6,3440,WESTMOUNT,226,240,88,76,194,82,308,2185,200,467,79,1742
WARD 1,4475,KINOKAMAU PLAINS AREA,0,8,1,1,1,27,5,27,14,27,1,0
WARD 10,5180,ERMINESKIN,206,222,102,89,177,131,254,1580,225,800,49,1406
WARD 1,4011,ANTHONY HENDAY,0,0,0,0,0,0,0,0,0,0,0,0
WARD 10,5110,CALGARY TRAIL NORTH,0,0,0,0,0,0,0,0,0,0,0,0
WARD 5,4380,ORMSBY PLACE,176,280,125,119,179,90,326,1433,185,392,45,2014
WARD 7,1120,EDMONTON NORTHLANDS,0,0,0,0,0,0,0,0,0,0,0,0
WARD 1,4190,HAWIN PARK ESTATE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 8,6731,RIVER VALLEY WALTERDALE,0,0,0,0,0,0,0,0,0,0,0,100
WARD 1,4620,WESTVIEW VILLAGE,62,69,30,22,10,30,90,490,134,235,55,930
WARD 8,6061,CAPILANO,78,93,46,49,66,48,166,961,83,490,20,434
WARD 7,2550,MONTROSE,110,131,83,61,47,48,128,1013,162,346,76,1104
WARD 10,5070,BLUE QUILL ESTATES,68,95,30,21,32,26,73,416,118,136,2,202
WARD 4,2251,EBBERS,15,10,6,2,2,5,7,52,6,4,0,16
WARD 1,4485,LEWIS FARMS INDUSTRIAL,1,8,0,0,1,2,4,25,5,14,0,31
WARD 11,6460,MEYOKUMIN,103,182,83,65,58,62,156,778,122,244,34,1133
WARD 4,2530,MCLEOD,76,72,63,53,41,56,156,642,91,429,26,521
WARD 11,6680,SATOO,122,200,92,108,90,82,187,979,133,403,23,863
WARD 9,5100,BULYEA HEIGHTS,50,110,48,55,84,56,115,528,37,332,3,2021
WARD 6,1180,QUEEN MARY PARK,230,164,57,44,332,96,356,1971,510,376,119,2691
WARD 9,5340,RAMSAY HEIGHTS,182,222,108,91,171,101,184,1247,121,513,20,429
WARD 9,5230,HENDERSON ESTATES,46,119,69,75,126,65,117,558,53,304,10,263
WARD 4,2145,CLAREVIEW TOWN CENTRE,142,137,49,33,140,70,172,888,129,93,20,1462
WARD 9,5511,TWIN BROOKS,186,343,238,239,323,211,392,2015,163,892,25,1238
WARD 8,6350,KENILWORTH,73,92,64,57,54,38,121,794,119,483,27,631
WARD 3,2050,BELLE RIVE,94,207,118,142,172,94,195,1179,100,355,24,1054
WARD 11,6690,SOUTHEAST INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 12,6530,MINCHAU,57,106,53,37,35,38,86,484,60,170,15,1990
WARD 9,5575,WINDERMERE AREA,0,0,0,0,0,0,0,0,0,0,0,0
WARD 4,2500,MATT BERRY,141,313,150,159,178,117,189,1352,120,430,27,841
WARD 1,4486,STEWART GREENS,7,7,2,3,5,2,6,40,8,0,0,164
WARD 11,6560,PAPASCHASE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 3,2511,MAYLIEWAN,89,236,125,119,191,92,178,1205,119,419,24,1256
WARD 2,1230,SPRUCE AVENUE,30,29,14,19,54,21,65,288,62,105,22,1173
WARD 1,4640,WILSON INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 8,5370,RIVER VALLEY MAYFAIR,0,0,0,0,0,0,0,0,0,0,0,0
WARD 1,4740,WEBBER GREENS,99,111,56,49,43,40,67,526,39,34,7,1200
WARD 2,3220,HAGMANN ESTATE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 2,4210,HIGH PARK INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 11,6540,MORRIS INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 3,3190,ELSINORE,61,150,74,62,93,57,104,605,47,299,11,747
WARD 11,6290,HAZELDEAN,114,194,82,52,100,60,211,1115,144,304,27,870
WARD 1,4230,JASPER PARK,61,67,25,29,30,37,90,512,53,189,40,622
WARD 1,4530,SUNWAPTA INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 1,4470,RURAL WEST BIG LAKE,0,2,2,0,0,7,9,25,3,28,2,48
WARD 7,2330,HIGHLANDS,94,139,38,53,70,39,147,915,95,420,25,510
WARD 2,4330,MITCHELL INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 11,6010,ARGYLL,28,20,11,18,14,5,30,221,17,91,3,319
WARD 5,4560,THORNCLIFF,137,203,94,75,67,70,146,967,137,258,51,1349
WARD 4,2311,GORMAN,0,0,0,0,0,0,0,0,0,0,0,0
WARD 1,4730,SUDER GREENS,199,282,93,78,87,65,173,1179,107,207,17,793
WARD 6,3210,GROVENOR,90,119,38,32,48,48,115,674,81,225,24,666
WARD 9,4013,ANTHONY HENDAY TERWILLEGAR,0,0,0,0,0,0,0,0,0,0,0,0
WARD 9,5630,LEGER,55,173,109,82,95,54,116,631,59,190,8,890
WARD 9,4014,ANTHONY HENDAY SOUTH,0,0,0,0,0,0,0,0,0,0,0,0
WARD 6,1030,CENTRAL MCDOUGALL,155,121,30,27,145,89,279,1249,325,238,160,2093
WARD 7,2060,BELLEVUE,35,45,21,10,29,16,50,302,34,90,10,359
WARD 2,3460,ALBANY,100,69,22,4,29,45,50,417,40,46,16,445
WARD 1,4130,EDMISTON INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 10,5160,DUGGAN,247,346,159,124,160,161,332,1453,249,589,39,674
WARD 4,2390,KERNOHAN,131,150,67,65,44,87,95,908,123,453,37,832
WARD 5,4720,GLASTONBURY,281,513,205,147,153,146,293,2157,168,530,31,1769
WARD 6,1020,BOYLE STREET,121,111,36,31,151,54,300,1393,516,691,258,3078
WARD 11,6450,MENISA,80,227,126,91,99,92,120,992,150,378,35,233
WARD 5,4110,DECHENE,46,75,54,42,74,42,92,498,18,262,12,417
WARD 9,5576,KESWICK AREA,74,41,17,10,8,28,27,267,24,11,0,82
WARD 8,5480,STRATHCONA,205,166,70,69,494,123,490,2787,290,627,58,3594
WARD 5,4070,CALLINGWOOD NORTH,152,167,56,37,56,52,117,882,134,177,29,517
WARD 11,6500,MILL WOODS GOLF COURSE,0,0,0,0,0,0,0,0,0,0,0,0
WARD 8,6040,BONNIE DOON,149,174,67,66,187,63,230,1313,152,497,39,1602
WARD 1,4474,STARLING,21,11,11,3,5,34,15,167,12,13,1,361
WARD 7,2020,BALWIN,192,240,85,74,65,81,206,823,303,382,76,1295
WARD 11,6110,CPR IRVINE,0,1,0,0,17,1,7,63,4,4,0,69
WARD 8,6620,RIVER VALLEY GOLD BAR,0,0,0,0,0,0,0,0,0,0,0,0
WARD 9,5610,HADDOW,186,349,158,141,166,164,188,1282,106,476,17,959
WARD 1,4100,CARLETON SQUARE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
WARD 2,4320,MISTATIM INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0
