WARD,Neighbourhood Number,Neighbourhood Name,Canadian Citizen,Permanent Resident,Refugee,Other,No Response,Month,Quarter,Year
WARD 7,1080,DELTON,1365,62,0,11,550,12,4,2016
WARD 1,4011,ANTHONY HENDAY,0,0,0,0,0,1,1,2016
WARD 1,4011,ANTHONY HENDAY,0,0,0,0,0,2,1,2016
WARD 1,4011,ANTHONY HENDAY,0,0,0,0,0,3,1,2016
WARD 1,4011,ANTHONY HENDAY,0,0,0,0,0,4,2,2016
WARD 1,4011,ANTHONY HENDAY,0,0,0,0,0,5,2,2016
WARD 1,4011,ANTHONY HENDAY,0,0,0,0,0,6,2,2016
WARD 1,4011,ANTHONY HENDAY,0,0,0,0,0,7,3,2016
WARD 1,4011,ANTHONY HENDAY,0,0,0,0,0,8,3,2016
WARD 1,4011,ANTHONY HENDAY,0,0,0,0,0,9,3,2016
WARD 1,4011,ANTHONY HENDAY,0,0,0,0,0,10,4,2016
WARD 1,4011,ANTHONY HENDAY,0,0,0,0,0,11,4,2016
WARD 1,4011,ANTHONY HENDAY,0,0,0,0,0,12,4,2016
WARD 2,3170,DOVERCOURT,1552,68,3,31,461,1,1,2016
WARD 2,3170,DOVERCOURT,1552,68,3,31,461,2,1,2016
WARD 2,3170,DOVERCOURT,1552,68,3,31,461,3,1,2016
WARD 2,3170,DOVERCOURT,1552,68,3,31,461,4,2,2016
WARD 2,3170,DOVERCOURT,1552,68,3,31,461,5,2,2016
WARD 2,3170,DOVERCOURT,1552,68,3,31,461,6,2,2016
WARD 2,3170,DOVERCOURT,1552,68,3,31,461,7,3,2016
WARD 2,3170,DOVERCOURT,1552,68,3,31,461,8,3,2016
WARD 2,3170,DOVERCOURT,1552,68,3,31,461,9,3,2016
WARD 2,3170,DOVERCOURT,1552,68,3,31,461,10,4,2016
WARD 2,3170,DOVERCOURT,1552,68,3,31,461,11,4,2016
WARD 2,3170,DOVERCOURT,1552,68,3,31,461,12,4,2016
WARD 1,4474,STARLING,288,5,0,0,361,1,1,2016
WARD 1,4474,STARLING,288,5,0,0,361,2,1,2016
WARD 1,4474,STARLING,288,5,0,0,361,3,1,2016
WARD 1,4474,STARLING,288,5,0,0,361,4,2,2016
WARD 1,4474,STARLING,288,5,0,0,361,5,2,2016
WARD 1,4474,STARLING,288,5,0,0,361,6,2,2016
WARD 1,4474,STARLING,288,5,0,0,361,7,3,2016
WARD 1,4474,STARLING,288,5,0,0,361,8,3,2016
WARD 1,4474,STARLING,288,5,0,0,361,9,3,2016
WARD 1,4474,STARLING,288,5,0,0,361,10,4,2016
WARD 1,4474,STARLING,288,5,0,0,361,11,4,2016
WARD 1,4474,STARLING,288,5,0,0,361,12,4,2016
WARD 8,6240,FULTON PLACE,1339,33,0,4,625,1,1,2016
WARD 8,6240,FULTON PLACE,1339,33,0,4,625,2,1,2016
WARD 8,6240,FULTON PLACE,1339,33,0,4,625,3,1,2016
WARD 8,6240,FULTON PLACE,1339,33,0,4,625,4,2,2016
WARD 8,6240,FULTON PLACE,1339,33,0,4,625,5,2,2016
WARD 8,6240,FULTON PLACE,1339,33,0,4,625,6,2,2016
WARD 8,6240,FULTON PLACE,1339,33,0,4,625,7,3,2016
WARD 8,6240,FULTON PLACE,1339,33,0,4,625,8,3,2016
WARD 8,6240,FULTON PLACE,1339,33,0,4,625,9,3,2016
WARD 8,6240,FULTON PLACE,1339,33,0,4,625,10,4,2016
WARD 8,6240,FULTON PLACE,1339,33,0,4,625,11,4,2016
WARD 8,6240,FULTON PLACE,1339,33,0,4,625,12,4,2016
WARD 12,6441,MAPLE,723,102,0,7,317,1,1,2016
WARD 12,6441,MAPLE,723,102,0,7,317,2,1,2016
WARD 12,6441,MAPLE,723,102,0,7,317,3,1,2016
WARD 12,6441,MAPLE,723,102,0,7,317,4,2,2016
WARD 12,6441,MAPLE,723,102,0,7,317,5,2,2016
WARD 12,6441,MAPLE,723,102,0,7,317,6,2,2016
WARD 12,6441,MAPLE,723,102,0,7,317,7,3,2016
WARD 12,6441,MAPLE,723,102,0,7,317,8,3,2016
WARD 12,6441,MAPLE,723,102,0,7,317,9,3,2016
WARD 12,6441,MAPLE,723,102,0,7,317,10,4,2016
WARD 12,6441,MAPLE,723,102,0,7,317,11,4,2016
WARD 12,6441,MAPLE,723,102,0,7,317,12,4,2016
WARD 10,5550,WHITEMUD CREEK RAVINE NORTH,0,0,0,0,0,1,1,2016
WARD 10,5550,WHITEMUD CREEK RAVINE NORTH,0,0,0,0,0,2,1,2016
WARD 10,5550,WHITEMUD CREEK RAVINE NORTH,0,0,0,0,0,3,1,2016
WARD 10,5550,WHITEMUD CREEK RAVINE NORTH,0,0,0,0,0,4,2,2016
WARD 10,5550,WHITEMUD CREEK RAVINE NORTH,0,0,0,0,0,5,2,2016
WARD 10,5550,WHITEMUD CREEK RAVINE NORTH,0,0,0,0,0,6,2,2016
WARD 10,5550,WHITEMUD CREEK RAVINE NORTH,0,0,0,0,0,7,3,2016
WARD 10,5550,WHITEMUD CREEK RAVINE NORTH,0,0,0,0,0,8,3,2016
WARD 10,5550,WHITEMUD CREEK RAVINE NORTH,0,0,0,0,0,9,3,2016
WARD 10,5550,WHITEMUD CREEK RAVINE NORTH,0,0,0,0,0,10,4,2016
WARD 10,5550,WHITEMUD CREEK RAVINE NORTH,0,0,0,0,0,11,4,2016
WARD 10,5550,WHITEMUD CREEK RAVINE NORTH,0,0,0,0,0,12,4,2016
WARD 6,1200,RIVER VALLEY VICTORIA,0,0,0,0,0,1,1,2016
WARD 6,1200,RIVER VALLEY VICTORIA,0,0,0,0,0,2,1,2016
WARD 6,1200,RIVER VALLEY VICTORIA,0,0,0,0,0,3,1,2016
WARD 6,1200,RIVER VALLEY VICTORIA,0,0,0,0,0,4,2,2016
WARD 6,1200,RIVER VALLEY VICTORIA,0,0,0,0,0,5,2,2016
WARD 6,1200,RIVER VALLEY VICTORIA,0,0,0,0,0,6,2,2016
WARD 6,1200,RIVER VALLEY VICTORIA,0,0,0,0,0,7,3,2016
WARD 6,1200,RIVER VALLEY VICTORIA,0,0,0,0,0,8,3,2016
WARD 6,1200,RIVER VALLEY VICTORIA,0,0,0,0,0,9,3,2016
WARD 6,1200,RIVER VALLEY VICTORIA,0,0,0,0,0,10,4,2016
WARD 6,1200,RIVER VALLEY VICTORIA,0,0,0,0,0,11,4,2016
WARD 6,1200,RIVER VALLEY VICTORIA,0,0,0,0,0,12,4,2016
WARD 11,6250,GAINER INDUSTRIAL,311,11,0,8,79,1,1,2016
WARD 11,6250,GAINER INDUSTRIAL,311,11,0,8,79,2,1,2016
WARD 11,6250,GAINER INDUSTRIAL,311,11,0,8,79,3,1,2016
WARD 11,6250,GAINER INDUSTRIAL,311,11,0,8,79,4,2,2016
WARD 11,6250,GAINER INDUSTRIAL,311,11,0,8,79,5,2,2016
WARD 11,6250,GAINER INDUSTRIAL,311,11,0,8,79,6,2,2016
WARD 11,6250,GAINER INDUSTRIAL,311,11,0,8,79,7,3,2016
WARD 11,6250,GAINER INDUSTRIAL,311,11,0,8,79,8,3,2016
WARD 11,6250,GAINER INDUSTRIAL,311,11,0,8,79,9,3,2016
WARD 11,6250,GAINER INDUSTRIAL,311,11,0,8,79,10,4,2016
WARD 11,6250,GAINER INDUSTRIAL,311,11,0,8,79,11,4,2016
WARD 11,6250,GAINER INDUSTRIAL,311,11,0,8,79,12,4,2016
WARD 2,3350,PRINCE CHARLES,542,41,0,6,692,1,1,2016
WARD 2,3350,PRINCE CHARLES,542,41,0,6,692,2,1,2016
WARD 2,3350,PRINCE CHARLES,542,41,0,6,692,3,1,2016
WARD 2,3350,PRINCE CHARLES,542,41,0,6,692,4,2,2016
WARD 2,3350,PRINCE CHARLES,542,41,0,6,692,5,2,2016
WARD 2,3350,PRINCE CHARLES,542,41,0,6,692,6,2,2016
WARD 2,3350,PRINCE CHARLES,542,41,0,6,692,7,3,2016
WARD 2,3350,PRINCE CHARLES,542,41,0,6,692,8,3,2016
WARD 2,3350,PRINCE CHARLES,542,41,0,6,692,9,3,2016
WARD 2,3350,PRINCE CHARLES,542,41,0,6,692,10,4,2016
WARD 2,3350,PRINCE CHARLES,542,41,0,6,692,11,4,2016
WARD 2,3350,PRINCE CHARLES,542,41,0,6,692,12,4,2016
WARD 10,5220,GREENFIELD,2596,88,1,15,987,1,1,2016
WARD 10,5220,GREENFIELD,2596,88,1,15,987,2,1,2016
WARD 10,5220,GREENFIELD,2596,88,1,15,987,3,1,2016
WARD 10,5220,GREENFIELD,2596,88,1,15,987,4,2,2016
WARD 10,5220,GREENFIELD,2596,88,1,15,987,5,2,2016
WARD 10,5220,GREENFIELD,2596,88,1,15,987,6,2,2016
WARD 10,5220,GREENFIELD,2596,88,1,15,987,7,3,2016
WARD 10,5220,GREENFIELD,2596,88,1,15,987,8,3,2016
WARD 10,5220,GREENFIELD,2596,88,1,15,987,9,3,2016
WARD 10,5220,GREENFIELD,2596,88,1,15,987,10,4,2016
WARD 10,5220,GREENFIELD,2596,88,1,15,987,11,4,2016
WARD 10,5220,GREENFIELD,2596,88,1,15,987,12,4,2016
WARD 4,2160,CLOVER BAR AREA,6,0,0,0,53,1,1,2016
WARD 4,2160,CLOVER BAR AREA,6,0,0,0,53,2,1,2016
WARD 4,2160,CLOVER BAR AREA,6,0,0,0,53,3,1,2016
WARD 4,2160,CLOVER BAR AREA,6,0,0,0,53,4,2,2016
WARD 4,2160,CLOVER BAR AREA,6,0,0,0,53,5,2,2016
WARD 4,2160,CLOVER BAR AREA,6,0,0,0,53,6,2,2016
WARD 4,2160,CLOVER BAR AREA,6,0,0,0,53,7,3,2016
WARD 4,2160,CLOVER BAR AREA,6,0,0,0,53,8,3,2016
WARD 4,2160,CLOVER BAR AREA,6,0,0,0,53,9,3,2016
WARD 4,2160,CLOVER BAR AREA,6,0,0,0,53,10,4,2016
WARD 4,2160,CLOVER BAR AREA,6,0,0,0,53,11,4,2016
WARD 4,2160,CLOVER BAR AREA,6,0,0,0,53,12,4,2016
WARD 7,2010,ABBOTTSFIELD,1139,187,13,29,539,1,1,2016
WARD 7,2010,ABBOTTSFIELD,1139,187,13,29,539,2,1,2016
WARD 7,2010,ABBOTTSFIELD,1139,187,13,29,539,3,1,2016
WARD 7,2010,ABBOTTSFIELD,1139,187,13,29,539,4,2,2016
WARD 7,2010,ABBOTTSFIELD,1139,187,13,29,539,5,2,2016
WARD 7,2010,ABBOTTSFIELD,1139,187,13,29,539,6,2,2016
WARD 7,2010,ABBOTTSFIELD,1139,187,13,29,539,7,3,2016
WARD 7,2010,ABBOTTSFIELD,1139,187,13,29,539,8,3,2016
WARD 7,2010,ABBOTTSFIELD,1139,187,13,29,539,9,3,2016
WARD 7,2010,ABBOTTSFIELD,1139,187,13,29,539,10,4,2016
WARD 7,2010,ABBOTTSFIELD,1139,187,13,29,539,11,4,2016
WARD 7,2010,ABBOTTSFIELD,1139,187,13,29,539,12,4,2016
WARD 8,6491,MILL CREEK RAVINE NORTH,0,0,0,0,0,1,1,2016
WARD 8,6491,MILL CREEK RAVINE NORTH,0,0,0,0,0,2,1,2016
WARD 8,6491,MILL CREEK RAVINE NORTH,0,0,0,0,0,3,1,2016
WARD 8,6491,MILL CREEK RAVINE NORTH,0,0,0,0,0,4,2,2016
WARD 8,6491,MILL CREEK RAVINE NORTH,0,0,0,0,0,5,2,2016
WARD 8,6491,MILL CREEK RAVINE NORTH,0,0,0,0,0,6,2,2016
WARD 8,6491,MILL CREEK RAVINE NORTH,0,0,0,0,0,7,3,2016
WARD 8,6491,MILL CREEK RAVINE NORTH,0,0,0,0,0,8,3,2016
WARD 8,6491,MILL CREEK RAVINE NORTH,0,0,0,0,0,9,3,2016
WARD 8,6491,MILL CREEK RAVINE NORTH,0,0,0,0,0,10,4,2016
WARD 8,6491,MILL CREEK RAVINE NORTH,0,0,0,0,0,11,4,2016
WARD 8,6491,MILL CREEK RAVINE NORTH,0,0,0,0,0,12,4,2016
WARD 10,5180,ERMINESKIN,3041,586,6,161,1447,1,1,2016
WARD 10,5180,ERMINESKIN,3041,586,6,161,1447,2,1,2016
WARD 10,5180,ERMINESKIN,3041,586,6,161,1447,3,1,2016
WARD 10,5180,ERMINESKIN,3041,586,6,161,1447,4,2,2016
WARD 10,5180,ERMINESKIN,3041,586,6,161,1447,5,2,2016
WARD 10,5180,ERMINESKIN,3041,586,6,161,1447,6,2,2016
WARD 10,5180,ERMINESKIN,3041,586,6,161,1447,7,3,2016
WARD 10,5180,ERMINESKIN,3041,586,6,161,1447,8,3,2016
WARD 10,5180,ERMINESKIN,3041,586,6,161,1447,9,3,2016
WARD 10,5180,ERMINESKIN,3041,586,6,161,1447,10,4,2016
WARD 10,5180,ERMINESKIN,3041,586,6,161,1447,11,4,2016
WARD 10,5180,ERMINESKIN,3041,586,6,161,1447,12,4,2016
WARD 12,6790,WILD ROSE,4877,527,10,69,3130,1,1,2016
WARD 12,6790,WILD ROSE,4877,527,10,69,3130,2,1,2016
WARD 12,6790,WILD ROSE,4877,527,10,69,3130,3,1,2016
WARD 12,6790,WILD ROSE,4877,527,10,69,3130,4,2,2016
WARD 12,6790,WILD ROSE,4877,527,10,69,3130,5,2,2016
WARD 12,6790,WILD ROSE,4877,527,10,69,3130,6,2,2016
WARD 12,6790,WILD ROSE,4877,527,10,69,3130,7,3,2016
WARD 12,6790,WILD ROSE,4877,527,10,69,3130,8,3,2016
WARD 12,6790,WILD ROSE,4877,527,10,69,3130,9,3,2016
WARD 12,6790,WILD ROSE,4877,527,10,69,3130,10,4,2016
WARD 12,6790,WILD ROSE,4877,527,10,69,3130,11,4,2016
WARD 12,6790,WILD ROSE,4877,527,10,69,3130,12,4,2016
WARD 1,4500,SHERWOOD,801,160,0,15,362,1,1,2016
WARD 1,4500,SHERWOOD,801,160,0,15,362,2,1,2016
WARD 1,4500,SHERWOOD,801,160,0,15,362,3,1,2016
WARD 1,4500,SHERWOOD,801,160,0,15,362,4,2,2016
WARD 1,4500,SHERWOOD,801,160,0,15,362,5,2,2016
WARD 1,4500,SHERWOOD,801,160,0,15,362,6,2,2016
WARD 1,4500,SHERWOOD,801,160,0,15,362,7,3,2016
WARD 1,4500,SHERWOOD,801,160,0,15,362,8,3,2016
WARD 1,4500,SHERWOOD,801,160,0,15,362,9,3,2016
WARD 1,4500,SHERWOOD,801,160,0,15,362,10,4,2016
WARD 1,4500,SHERWOOD,801,160,0,15,362,11,4,2016
WARD 1,4500,SHERWOOD,801,160,0,15,362,12,4,2016
WARD 9,5456,HERITAGE VALLEY AREA,0,0,0,0,0,1,1,2016
WARD 9,5456,HERITAGE VALLEY AREA,0,0,0,0,0,2,1,2016
WARD 9,5456,HERITAGE VALLEY AREA,0,0,0,0,0,3,1,2016
WARD 9,5456,HERITAGE VALLEY AREA,0,0,0,0,0,4,2,2016
WARD 9,5456,HERITAGE VALLEY AREA,0,0,0,0,0,5,2,2016
WARD 9,5456,HERITAGE VALLEY AREA,0,0,0,0,0,6,2,2016
WARD 9,5456,HERITAGE VALLEY AREA,0,0,0,0,0,7,3,2016
WARD 9,5456,HERITAGE VALLEY AREA,0,0,0,0,0,8,3,2016
WARD 9,5456,HERITAGE VALLEY AREA,0,0,0,0,0,9,3,2016
WARD 9,5456,HERITAGE VALLEY AREA,0,0,0,0,0,10,4,2016
WARD 9,5456,HERITAGE VALLEY AREA,0,0,0,0,0,11,4,2016
WARD 9,5456,HERITAGE VALLEY AREA,0,0,0,0,0,12,4,2016
WARD 1,4650,WINTERBURN INDUSTRIAL AREA EAST,0,0,0,0,0,1,1,2016
WARD 1,4650,WINTERBURN INDUSTRIAL AREA EAST,0,0,0,0,0,2,1,2016
WARD 1,4650,WINTERBURN INDUSTRIAL AREA EAST,0,0,0,0,0,3,1,2016
WARD 1,4650,WINTERBURN INDUSTRIAL AREA EAST,0,0,0,0,0,4,2,2016
WARD 1,4650,WINTERBURN INDUSTRIAL AREA EAST,0,0,0,0,0,5,2,2016
WARD 1,4650,WINTERBURN INDUSTRIAL AREA EAST,0,0,0,0,0,6,2,2016
WARD 1,4650,WINTERBURN INDUSTRIAL AREA EAST,0,0,0,0,0,7,3,2016
WARD 1,4650,WINTERBURN INDUSTRIAL AREA EAST,0,0,0,0,0,8,3,2016
WARD 1,4650,WINTERBURN INDUSTRIAL AREA EAST,0,0,0,0,0,9,3,2016
WARD 1,4650,WINTERBURN INDUSTRIAL AREA EAST,0,0,0,0,0,10,4,2016
WARD 1,4650,WINTERBURN INDUSTRIAL AREA EAST,0,0,0,0,0,11,4,2016
WARD 1,4650,WINTERBURN INDUSTRIAL AREA EAST,0,0,0,0,0,12,4,2016
WARD 8,6710,STRATHEARN,1564,42,1,11,1024,1,1,2016
WARD 8,6710,STRATHEARN,1564,42,1,11,1024,2,1,2016
WARD 8,6710,STRATHEARN,1564,42,1,11,1024,3,1,2016
WARD 8,6710,STRATHEARN,1564,42,1,11,1024,4,2,2016
WARD 8,6710,STRATHEARN,1564,42,1,11,1024,5,2,2016
WARD 8,6710,STRATHEARN,1564,42,1,11,1024,6,2,2016
WARD 8,6710,STRATHEARN,1564,42,1,11,1024,7,3,2016
WARD 8,6710,STRATHEARN,1564,42,1,11,1024,8,3,2016
WARD 8,6710,STRATHEARN,1564,42,1,11,1024,9,3,2016
WARD 8,6710,STRATHEARN,1564,42,1,11,1024,10,4,2016
WARD 8,6710,STRATHEARN,1564,42,1,11,1024,11,4,2016
WARD 8,6710,STRATHEARN,1564,42,1,11,1024,12,4,2016
WARD 7,2020,BALWIN,2344,235,9,41,1193,1,1,2016
WARD 7,2020,BALWIN,2344,235,9,41,1193,2,1,2016
WARD 7,2020,BALWIN,2344,235,9,41,1193,3,1,2016
WARD 7,2020,BALWIN,2344,235,9,41,1193,4,2,2016
WARD 7,2020,BALWIN,2344,235,9,41,1193,5,2,2016
WARD 7,2020,BALWIN,2344,235,9,41,1193,6,2,2016
WARD 7,2020,BALWIN,2344,235,9,41,1193,7,3,2016
WARD 7,2020,BALWIN,2344,235,9,41,1193,8,3,2016
WARD 7,2020,BALWIN,2344,235,9,41,1193,9,3,2016
WARD 7,2020,BALWIN,2344,235,9,41,1193,10,4,2016
WARD 7,2020,BALWIN,2344,235,9,41,1193,11,4,2016
WARD 7,2020,BALWIN,2344,235,9,41,1193,12,4,2016
WARD 1,4590,WEST MEADOWLARK PARK,1346,114,3,24,1787,1,1,2016
WARD 1,4590,WEST MEADOWLARK PARK,1346,114,3,24,1787,2,1,2016
WARD 1,4590,WEST MEADOWLARK PARK,1346,114,3,24,1787,3,1,2016
WARD 1,4590,WEST MEADOWLARK PARK,1346,114,3,24,1787,4,2,2016
WARD 1,4590,WEST MEADOWLARK PARK,1346,114,3,24,1787,5,2,2016
WARD 1,4590,WEST MEADOWLARK PARK,1346,114,3,24,1787,6,2,2016
WARD 1,4590,WEST MEADOWLARK PARK,1346,114,3,24,1787,7,3,2016
WARD 1,4590,WEST MEADOWLARK PARK,1346,114,3,24,1787,8,3,2016
WARD 1,4590,WEST MEADOWLARK PARK,1346,114,3,24,1787,9,3,2016
WARD 1,4590,WEST MEADOWLARK PARK,1346,114,3,24,1787,10,4,2016
WARD 1,4590,WEST MEADOWLARK PARK,1346,114,3,24,1787,11,4,2016
WARD 1,4590,WEST MEADOWLARK PARK,1346,114,3,24,1787,12,4,2016
WARD 4,2340,HOLLICK-KENYON,4338,285,4,57,1452,1,1,2016
WARD 4,2340,HOLLICK-KENYON,4338,285,4,57,1452,2,1,2016
WARD 4,2340,HOLLICK-KENYON,4338,285,4,57,1452,3,1,2016
WARD 4,2340,HOLLICK-KENYON,4338,285,4,57,1452,4,2,2016
WARD 4,2340,HOLLICK-KENYON,4338,285,4,57,1452,5,2,2016
WARD 4,2340,HOLLICK-KENYON,4338,285,4,57,1452,6,2,2016
WARD 4,2340,HOLLICK-KENYON,4338,285,4,57,1452,7,3,2016
WARD 4,2340,HOLLICK-KENYON,4338,285,4,57,1452,8,3,2016
WARD 4,2340,HOLLICK-KENYON,4338,285,4,57,1452,9,3,2016
WARD 4,2340,HOLLICK-KENYON,4338,285,4,57,1452,10,4,2016
WARD 4,2340,HOLLICK-KENYON,4338,285,4,57,1452,11,4,2016
WARD 4,2340,HOLLICK-KENYON,4338,285,4,57,1452,12,4,2016
WARD 8,5330,QUEEN ALEXANDRA,2952,228,4,246,1728,1,1,2016
WARD 8,5330,QUEEN ALEXANDRA,2952,228,4,246,1728,2,1,2016
WARD 8,5330,QUEEN ALEXANDRA,2952,228,4,246,1728,3,1,2016
WARD 8,5330,QUEEN ALEXANDRA,2952,228,4,246,1728,4,2,2016
WARD 8,5330,QUEEN ALEXANDRA,2952,228,4,246,1728,5,2,2016
WARD 8,5330,QUEEN ALEXANDRA,2952,228,4,246,1728,6,2,2016
WARD 8,5330,QUEEN ALEXANDRA,2952,228,4,246,1728,7,3,2016
WARD 8,5330,QUEEN ALEXANDRA,2952,228,4,246,1728,8,3,2016
WARD 8,5330,QUEEN ALEXANDRA,2952,228,4,246,1728,9,3,2016
WARD 8,5330,QUEEN ALEXANDRA,2952,228,4,246,1728,10,4,2016
WARD 8,5330,QUEEN ALEXANDRA,2952,228,4,246,1728,11,4,2016
WARD 8,5330,QUEEN ALEXANDRA,2952,228,4,246,1728,12,4,2016
WARD 5,4451,RIVER VALLEY OLESKIW,0,0,0,0,0,1,1,2016
WARD 5,4451,RIVER VALLEY OLESKIW,0,0,0,0,0,2,1,2016
WARD 5,4451,RIVER VALLEY OLESKIW,0,0,0,0,0,3,1,2016
WARD 5,4451,RIVER VALLEY OLESKIW,0,0,0,0,0,4,2,2016
WARD 5,4451,RIVER VALLEY OLESKIW,0,0,0,0,0,5,2,2016
WARD 5,4451,RIVER VALLEY OLESKIW,0,0,0,0,0,6,2,2016
WARD 5,4451,RIVER VALLEY OLESKIW,0,0,0,0,0,7,3,2016
WARD 5,4451,RIVER VALLEY OLESKIW,0,0,0,0,0,8,3,2016
WARD 5,4451,RIVER VALLEY OLESKIW,0,0,0,0,0,9,3,2016
WARD 5,4451,RIVER VALLEY OLESKIW,0,0,0,0,0,10,4,2016
WARD 5,4451,RIVER VALLEY OLESKIW,0,0,0,0,0,11,4,2016
WARD 5,4451,RIVER VALLEY OLESKIW,0,0,0,0,0,12,4,2016
WARD 7,1160,PARKDALE,1792,170,4,42,1324,1,1,2016
WARD 7,1160,PARKDALE,1792,170,4,42,1324,2,1,2016
WARD 7,1160,PARKDALE,1792,170,4,42,1324,3,1,2016
WARD 7,1160,PARKDALE,1792,170,4,42,1324,4,2,2016
WARD 7,1160,PARKDALE,1792,170,4,42,1324,5,2,2016
WARD 7,1160,PARKDALE,1792,170,4,42,1324,6,2,2016
WARD 7,1160,PARKDALE,1792,170,4,42,1324,7,3,2016
WARD 7,1160,PARKDALE,1792,170,4,42,1324,8,3,2016
WARD 7,1160,PARKDALE,1792,170,4,42,1324,9,3,2016
WARD 7,1160,PARKDALE,1792,170,4,42,1324,10,4,2016
WARD 7,1160,PARKDALE,1792,170,4,42,1324,11,4,2016
WARD 7,1160,PARKDALE,1792,170,4,42,1324,12,4,2016
WARD 5,4110,DECHENE,1186,27,0,5,414,1,1,2016
WARD 5,4110,DECHENE,1186,27,0,5,414,2,1,2016
WARD 5,4110,DECHENE,1186,27,0,5,414,3,1,2016
WARD 5,4110,DECHENE,1186,27,0,5,414,4,2,2016
WARD 5,4110,DECHENE,1186,27,0,5,414,5,2,2016
WARD 5,4110,DECHENE,1186,27,0,5,414,6,2,2016
WARD 5,4110,DECHENE,1186,27,0,5,414,7,3,2016
WARD 5,4110,DECHENE,1186,27,0,5,414,8,3,2016
WARD 5,4110,DECHENE,1186,27,0,5,414,9,3,2016
WARD 5,4110,DECHENE,1186,27,0,5,414,10,4,2016
WARD 5,4110,DECHENE,1186,27,0,5,414,11,4,2016
WARD 5,4110,DECHENE,1186,27,0,5,414,12,4,2016
WARD 7,2400,KILDARE,1695,80,0,12,915,1,1,2016
WARD 7,2400,KILDARE,1695,80,0,12,915,2,1,2016
WARD 7,2400,KILDARE,1695,80,0,12,915,3,1,2016
WARD 7,2400,KILDARE,1695,80,0,12,915,4,2,2016
WARD 7,2400,KILDARE,1695,80,0,12,915,5,2,2016
WARD 7,2400,KILDARE,1695,80,0,12,915,6,2,2016
WARD 7,2400,KILDARE,1695,80,0,12,915,7,3,2016
WARD 7,2400,KILDARE,1695,80,0,12,915,8,3,2016
WARD 7,2400,KILDARE,1695,80,0,12,915,9,3,2016
WARD 7,2400,KILDARE,1695,80,0,12,915,10,4,2016
WARD 7,2400,KILDARE,1695,80,0,12,915,11,4,2016
WARD 7,2400,KILDARE,1695,80,0,12,915,12,4,2016
WARD 11,6110,CPR IRVINE,79,6,0,18,63,1,1,2016
WARD 11,6110,CPR IRVINE,79,6,0,18,63,2,1,2016
WARD 11,6110,CPR IRVINE,79,6,0,18,63,3,1,2016
WARD 11,6110,CPR IRVINE,79,6,0,18,63,4,2,2016
WARD 11,6110,CPR IRVINE,79,6,0,18,63,5,2,2016
WARD 11,6110,CPR IRVINE,79,6,0,18,63,6,2,2016
WARD 11,6110,CPR IRVINE,79,6,0,18,63,7,3,2016
WARD 11,6110,CPR IRVINE,79,6,0,18,63,8,3,2016
WARD 11,6110,CPR IRVINE,79,6,0,18,63,9,3,2016
WARD 11,6110,CPR IRVINE,79,6,0,18,63,10,4,2016
WARD 11,6110,CPR IRVINE,79,6,0,18,63,11,4,2016
WARD 11,6110,CPR IRVINE,79,6,0,18,63,12,4,2016
WARD 4,2611,CY BECKER,164,57,1,7,454,1,1,2016
WARD 4,2611,CY BECKER,164,57,1,7,454,2,1,2016
WARD 4,2611,CY BECKER,164,57,1,7,454,3,1,2016
WARD 4,2611,CY BECKER,164,57,1,7,454,4,2,2016
WARD 4,2611,CY BECKER,164,57,1,7,454,5,2,2016
WARD 4,2611,CY BECKER,164,57,1,7,454,6,2,2016
WARD 4,2611,CY BECKER,164,57,1,7,454,7,3,2016
WARD 4,2611,CY BECKER,164,57,1,7,454,8,3,2016
WARD 4,2611,CY BECKER,164,57,1,7,454,9,3,2016
WARD 4,2611,CY BECKER,164,57,1,7,454,10,4,2016
WARD 4,2611,CY BECKER,164,57,1,7,454,11,4,2016
WARD 4,2611,CY BECKER,164,57,1,7,454,12,4,2016
WARD 4,2720,YORK,2773,272,4,46,806,1,1,2016
WARD 4,2720,YORK,2773,272,4,46,806,2,1,2016
WARD 4,2720,YORK,2773,272,4,46,806,3,1,2016
WARD 4,2720,YORK,2773,272,4,46,806,4,2,2016
WARD 4,2720,YORK,2773,272,4,46,806,5,2,2016
WARD 4,2720,YORK,2773,272,4,46,806,6,2,2016
WARD 4,2720,YORK,2773,272,4,46,806,7,3,2016
WARD 4,2720,YORK,2773,272,4,46,806,8,3,2016
WARD 4,2720,YORK,2773,272,4,46,806,9,3,2016
WARD 4,2720,YORK,2773,272,4,46,806,10,4,2016
WARD 4,2720,YORK,2773,272,4,46,806,11,4,2016
WARD 4,2720,YORK,2773,272,4,46,806,12,4,2016
WARD 1,4190,HAWIN PARK ESTATE INDUSTRIAL,0,0,0,0,0,1,1,2016
WARD 1,4190,HAWIN PARK ESTATE INDUSTRIAL,0,0,0,0,0,2,1,2016
WARD 1,4190,HAWIN PARK ESTATE INDUSTRIAL,0,0,0,0,0,3,1,2016
WARD 1,4190,HAWIN PARK ESTATE INDUSTRIAL,0,0,0,0,0,4,2,2016
WARD 1,4190,HAWIN PARK ESTATE INDUSTRIAL,0,0,0,0,0,5,2,2016
WARD 1,4190,HAWIN PARK ESTATE INDUSTRIAL,0,0,0,0,0,6,2,2016
WARD 1,4190,HAWIN PARK ESTATE INDUSTRIAL,0,0,0,0,0,7,3,2016
