WARD,NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD NAME,PRESCHOOL,KINDERGARTEN - GRADE6,GRADE 7 - GRADE 9,GRADE 10 - GRADE 12,POST_SECONDARY_STUDENT,HOMEMAKER,EMPLOYED_0-30_HOURS,EMPLOYED_MORE_THAN_30_HOURS,UNEMPLOYED,RETIRED,PERMANENTLY_UNABLE_TO_WORK,OTHER,NO_RESPONSE
Ward 10,5210,GRANDVIEW HEIGHTS,38,87,44,36,66,35,53,337,5,176,4,1,208
Ward 10,5220,GREENFIELD,161,280,140,183,220,140,230,1350,43,700,17,30,146
Ward 10,5250,KEHEEWIN,149,142,88,94,182,93,154,1158,52,557,25,9,219
Ward 10,5260,LANSDOWNE,64,88,31,33,92,32,85,445,21,191,9,9,114
Ward 10,5270,LENDRUM PLACE,81,98,63,46,168,44,120,672,48,314,14,30,190
Ward 10,5280,MALMO PLAINS,359,281,77,73,596,75,192,829,153,361,18,15,276
Ward 10,5310,PARKALLEN,88,117,55,66,308,36,186,990,50,190,11,17,101
Ward 10,5320,PLEASANTVIEW,141,165,73,87,239,93,186,1447,94,699,25,39,467
Ward 10,5360,RIDEAU PARK,45,75,39,40,102,44,81,672,48,316,15,8,398
Ward 10,5400,RIVER VALLEY WHITEMUD,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 10,6650,ROSEDALE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 10,5430,ROYAL GARDENS,194,263,132,140,264,111,208,1301,110,416,33,35,274
Ward 10,5460,SKYRATTLER,84,72,49,43,127,55,153,863,43,203,17,11,227
Ward 10,5470,STEINHAUER,83,124,68,65,100,67,116,610,21,274,5,40,294
Ward 10,5490,SWEET GRASS,147,209,85,93,203,77,175,978,76,294,23,16,260
Ward 10,5530,UNIVERSITY OF ALBERTA FARM,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 10,5540,WESTBROOK ESTATES,51,103,67,46,71,79,98,410,25,182,5,3,85
Ward 10,5550,WHITEMUD CREEK RAVINE NORTH,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 10,5560,WHITEMUD CREEK RAVINE SOUTH,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 11,6010,ARGYLL,48,46,23,35,39,17,57,389,16,116,9,4,51
Ward 11,6020,AVONMORE,102,91,42,50,65,59,128,885,31,361,24,2,247
Ward 11,6090,CORONET ADDITION INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 11,6100,CORONET INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 11,6110,CPR IRVINE,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 11,6160,DAVIES INDUSTRIAL EAST,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 11,6170,DAVIES INDUSTRIAL WEST,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 11,6190,EDMONTON RESEARCH AND DEVELOPMENT PARK,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 11,6200,EKOTA,166,232,113,91,101,114,175,1037,57,253,25,18,178
Ward 11,6250,GAINER INDUSTRIAL,5,2,3,5,12,2,15,120,4,37,1,0,10
Ward 11,6260,GIRARD INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,59
Ward 11,6280,GREENVIEW,156,211,125,118,156,100,174,1276,92,291,19,67,142
Ward 11,6290,HAZELDEAN,172,181,65,73,114,93,172,1364,68,278,34,26,536
Ward 11,6300,HILLVIEW,168,226,103,130,146,135,219,1354,79,295,48,15,529
Ward 11,6340,KAMEYOSEK,207,283,100,99,130,139,151,981,64,391,38,3,321
Ward 11,6360,KING EDWARD PARK,189,189,86,83,198,95,256,1834,107,384,74,62,681
Ward 11,6400,LEE RIDGE,187,247,132,127,101,141,233,1080,88,336,33,18,16
Ward 11,6410,MAPLE RIDGE,88,78,45,34,20,72,65,774,78,195,40,8,214
Ward 11,6420,MAPLE RIDGE INDUSTRIAL,3,1,4,4,2,4,9,24,0,6,0,2,2
Ward 11,6430,MCINTYRE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 11,6450,MENISA,110,165,90,106,120,87,193,1204,55,237,36,24,117
Ward 11,6460,MEYOKUMIN,180,215,100,93,118,111,161,1144,68,213,37,10,448
Ward 11,6470,MEYONOHK,182,242,86,99,129,104,184,1262,58,273,25,16,282
Ward 11,6480,MICHAELS PARK,112,192,79,106,112,83,115,1021,36,289,44,7,5
Ward 11,6492,MILL CREEK RAVINE SOUTH,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 11,6500,MILL WOODS GOLF COURSE,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 11,6510,MILL WOODS PARK,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 11,6520,MILL WOODS TOWN CENTRE,46,36,14,10,20,22,66,375,33,393,11,4,217
Ward 11,6540,MORRIS INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 11,6560,PAPASCHASE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 11,6570,PARSONS INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 11,6590,PYLYPOW INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 11,6600,RICHFIELD,263,392,163,158,141,183,275,1216,82,318,65,17,26
Ward 11,6610,RITCHIE,161,150,49,63,274,70,234,1921,97,438,37,48,652
Ward 11,6640,ROPER INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 11,6670,SAKAW,272,385,172,176,174,193,317,1781,125,353,41,12,112
Ward 11,6680,SATOO,200,266,116,127,134,123,192,1318,62,424,41,11,377
Ward 11,6195,SOUTH EDMONTON COMMON,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 11,6690,SOUTHEAST INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 11,6700,STRATHCONA INDUSTRIAL PARK,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 11,6720,TAWA,77,82,29,52,52,43,241,528,19,472,8,26,343
Ward 11,6750,TIPASKAN,201,264,79,98,103,130,167,1207,91,205,30,14,313
Ward 11,6760,TWEDDLE PLACE,201,345,162,140,160,167,271,1191,91,348,21,25,6
Ward 11,6780,WEIR INDUSTRIAL,2,1,3,0,1,3,5,32,2,8,10,2,13
Ward 12,6665,ANTHONY HENDAY SOUTHEAST,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 12,6030,BISSET,231,269,127,117,188,178,181,1635,133,234,30,62,465
Ward 12,6661,CHARLESWORTH,355,257,93,73,85,136,167,1497,24,67,4,6,177
Ward 12,6140,CRAWFORD PLAINS,243,366,194,191,162,160,235,1941,119,251,39,47,446
Ward 12,6150,DALY GROVE,246,311,157,129,165,161,205,1616,107,221,35,25,173
Ward 12,6211,ELLERSLIE,524,484,130,129,214,216,244,2545,83,153,12,55,777
Ward 12,6214,ELLERSLIE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 12,6330,JACKSON HEIGHTS,201,303,154,186,242,126,208,1607,52,437,21,22,371
Ward 12,6370,KINISKI GARDENS,402,521,283,295,357,269,356,3088,157,389,32,13,487
Ward 12,6390,LARKSPUR,269,433,201,239,285,191,296,2306,66,323,27,20,332
Ward 12,6444,LAUREL,167,148,58,64,56,84,74,821,43,33,6,4,48
Ward 12,6441,MAPLE,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 12,6440,MEADOWS AREA,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 12,6530,MINCHAU,186,250,107,124,125,119,150,1406,60,233,16,34,302
Ward 12,6580,POLLARD MEADOWS,338,433,170,157,175,197,198,2132,150,375,38,32,181
Ward 12,6660,RURAL SOUTH EAST,8,8,3,5,13,13,24,72,5,31,1,0,17
Ward 12,6442,SILVER BERRY,822,782,288,257,296,352,407,3532,198,241,19,29,866
Ward 12,6213,SUMMERSIDE,695,607,224,187,251,306,283,3385,46,204,12,51,1725
Ward 12,6443,TAMARACK,261,221,64,49,38,87,103,1007,19,41,2,36,420
Ward 12,6216,THE ORCHARDS AT ELLERSLIE,0,0,0,0,0,0,0,0,0,0,0,0,0
Ward 12,6662,WALKER,192,182,44,38,63,109,54,1012,18,14,0,3,307
Ward 12,6770,WEINLOS,186,261,124,108,199,148,203,1489,84,308,43,3,289
Ward 12,6790,WILD ROSE,568,731,362,336,339,332,370,3478,148,468,32,14,853
Ward 2,4150,GAGNON ESTATE INDUSTRIAL,0,0,0,0,0,0,0,0,0,0,0,0,0
