WARD,NEIGHBOURHOOD_NUMBER,NEIGHBOURHOOD_NAME,LENGTH_OF_RESIDENCE,OWNED,RENTED,NO_RESPONSE
Ward 2,3170,DOVERCOURT,Less than 1 year,86,123,2
Ward 2,3170,DOVERCOURT,Child less than 1 year,21,3,0
Ward 2,3170,DOVERCOURT,No Response,58,60,60
Ward 2,1110,EDMONTON MUNICIPAL AIRPORT,5 years or more,0,0,0
Ward 2,1110,EDMONTON MUNICIPAL AIRPORT,No 3 years to less than 5 years,0,0,0
Ward 2,1110,EDMONTON MUNICIPAL AIRPORT,1 year to less than 3 years,0,0,0
Ward 2,1110,EDMONTON MUNICIPAL AIRPORT,Less than 1 year,0,0,0
Ward 2,1110,EDMONTON MUNICIPAL AIRPORT,Child less than 1 year,0,0,0
Ward 2,1110,EDMONTON MUNICIPAL AIRPORT,No Response,0,0,0
Ward 2,4150,GAGNON ESTATE INDUSTRIAL,5 years or more,0,0,0
Ward 2,4150,GAGNON ESTATE INDUSTRIAL,No 3 years to less than 5 years,0,0,0
Ward 2,4150,GAGNON ESTATE INDUSTRIAL,1 year to less than 3 years,0,0,0
Ward 2,4150,GAGNON ESTATE INDUSTRIAL,Less than 1 year,0,0,0
Ward 2,4150,GAGNON ESTATE INDUSTRIAL,Child less than 1 year,0,0,0
Ward 2,4150,GAGNON ESTATE INDUSTRIAL,No Response,0,0,0
Ward 2,4170,GARSIDE INDUSTRIAL,5 years or more,0,0,0
Ward 2,4170,GARSIDE INDUSTRIAL,No 3 years to less than 5 years,0,0,0
Ward 2,4170,GARSIDE INDUSTRIAL,1 year to less than 3 years,0,0,0
Ward 2,4170,GARSIDE INDUSTRIAL,Less than 1 year,0,0,0
Ward 2,4170,GARSIDE INDUSTRIAL,Child less than 1 year,0,0,0
Ward 2,4170,GARSIDE INDUSTRIAL,No Response,0,0,0
Ward 2,3111,GRIESBACH,5 years or more,178,253,1
Ward 2,3111,GRIESBACH,No 3 years to less than 5 years,337,391,2
Ward 2,3111,GRIESBACH,1 year to less than 3 years,370,507,8
Ward 2,3111,GRIESBACH,Less than 1 year,229,418,10
Ward 2,3111,GRIESBACH,Child less than 1 year,23,37,0
Ward 2,3111,GRIESBACH,No Response,21,287,28
Ward 2,3220,HAGMANN ESTATE INDUSTRIAL,5 years or more,0,0,0
Ward 2,3220,HAGMANN ESTATE INDUSTRIAL,No 3 years to less than 5 years,0,0,0
Ward 2,3220,HAGMANN ESTATE INDUSTRIAL,1 year to less than 3 years,0,0,0
Ward 2,3220,HAGMANN ESTATE INDUSTRIAL,Less than 1 year,0,0,0
Ward 2,3220,HAGMANN ESTATE INDUSTRIAL,Child less than 1 year,0,0,0
Ward 2,3220,HAGMANN ESTATE INDUSTRIAL,No Response,0,0,0
Ward 2,4210,HIGH PARK INDUSTRIAL,5 years or more,0,0,0
Ward 2,4210,HIGH PARK INDUSTRIAL,No 3 years to less than 5 years,0,0,0
Ward 2,4210,HIGH PARK INDUSTRIAL,1 year to less than 3 years,0,0,0
Ward 2,4210,HIGH PARK INDUSTRIAL,Less than 1 year,0,0,0
Ward 2,4210,HIGH PARK INDUSTRIAL,Child less than 1 year,0,0,0
Ward 2,4210,HIGH PARK INDUSTRIAL,No Response,0,0,0
Ward 2,3480,HUDSON,5 years or more,1041,30,6
Ward 2,3480,HUDSON,No 3 years to less than 5 years,156,46,0
Ward 2,3480,HUDSON,1 year to less than 3 years,143,92,0
Ward 2,3480,HUDSON,Less than 1 year,64,56,0
Ward 2,3480,HUDSON,Child less than 1 year,17,4,0
Ward 2,3480,HUDSON,No Response,153,76,132
Ward 2,3230,HUFF BREMNER ESTATE INDUSTRIAL,5 years or more,0,0,0
Ward 2,3230,HUFF BREMNER ESTATE INDUSTRIAL,No 3 years to less than 5 years,0,0,0
Ward 2,3230,HUFF BREMNER ESTATE INDUSTRIAL,1 year to less than 3 years,0,0,0
Ward 2,3230,HUFF BREMNER ESTATE INDUSTRIAL,Less than 1 year,0,0,0
Ward 2,3230,HUFF BREMNER ESTATE INDUSTRIAL,Child less than 1 year,0,0,0
Ward 2,3230,HUFF BREMNER ESTATE INDUSTRIAL,No Response,0,0,0
Ward 2,3240,INGLEWOOD,5 years or more,1001,898,32
Ward 2,3240,INGLEWOOD,No 3 years to less than 5 years,189,704,3
Ward 2,3240,INGLEWOOD,1 year to less than 3 years,163,1140,7
Ward 2,3240,INGLEWOOD,Less than 1 year,108,1271,20
Ward 2,3240,INGLEWOOD,Child less than 1 year,17,47,2
Ward 2,3240,INGLEWOOD,No Response,73,398,188
Ward 2,3250,KENSINGTON,5 years or more,1637,230,21
Ward 2,3250,KENSINGTON,No 3 years to less than 5 years,255,157,8
Ward 2,3250,KENSINGTON,1 year to less than 3 years,209,263,3
Ward 2,3250,KENSINGTON,Less than 1 year,139,270,6
Ward 2,3250,KENSINGTON,Child less than 1 year,9,13,0
Ward 2,3250,KENSINGTON,No Response,92,96,78
Ward 2,3260,LAUDERDALE,5 years or more,1016,261,9
Ward 2,3260,LAUDERDALE,No 3 years to less than 5 years,123,136,4
Ward 2,3260,LAUDERDALE,1 year to less than 3 years,135,258,14
Ward 2,3260,LAUDERDALE,Less than 1 year,80,338,5
Ward 2,3260,LAUDERDALE,Child less than 1 year,14,26,1
Ward 2,3260,LAUDERDALE,No Response,61,181,49
Ward 2,3290,MCARTHUR INDUSTRIAL,5 years or more,0,0,0
Ward 2,3290,MCARTHUR INDUSTRIAL,No 3 years to less than 5 years,0,0,0
Ward 2,3290,MCARTHUR INDUSTRIAL,1 year to less than 3 years,0,0,0
Ward 2,3290,MCARTHUR INDUSTRIAL,Less than 1 year,0,0,0
Ward 2,3290,MCARTHUR INDUSTRIAL,Child less than 1 year,0,0,0
Ward 2,3290,MCARTHUR INDUSTRIAL,No Response,0,0,0
Ward 2,4320,MISTATIM INDUSTRIAL,5 years or more,0,0,0
Ward 2,4320,MISTATIM INDUSTRIAL,No 3 years to less than 5 years,0,0,0
Ward 2,4320,MISTATIM INDUSTRIAL,1 year to less than 3 years,0,0,0
Ward 2,4320,MISTATIM INDUSTRIAL,Less than 1 year,0,0,0
Ward 2,4320,MISTATIM INDUSTRIAL,Child less than 1 year,0,0,0
Ward 2,4320,MISTATIM INDUSTRIAL,No Response,0,0,0
Ward 2,4330,MITCHELL INDUSTRIAL,5 years or more,0,0,0
Ward 2,4330,MITCHELL INDUSTRIAL,No 3 years to less than 5 years,0,0,0
Ward 2,4330,MITCHELL INDUSTRIAL,1 year to less than 3 years,0,0,0
Ward 2,4330,MITCHELL INDUSTRIAL,Less than 1 year,0,0,0
Ward 2,4330,MITCHELL INDUSTRIAL,Child less than 1 year,0,0,0
Ward 2,4330,MITCHELL INDUSTRIAL,No Response,0,0,0
Ward 2,3320,OXFORD,5 years or more,2062,37,29
Ward 2,3320,OXFORD,No 3 years to less than 5 years,340,40,5
Ward 2,3320,OXFORD,1 year to less than 3 years,257,77,3
Ward 2,3320,OXFORD,Less than 1 year,118,63,0
Ward 2,3320,OXFORD,Child less than 1 year,34,11,1
Ward 2,3320,OXFORD,No Response,234,20,68
Ward 2,3340,PEMBINA,5 years or more,132,12,3
Ward 2,3340,PEMBINA,No 3 years to less than 5 years,81,23,6
Ward 2,3340,PEMBINA,1 year to less than 3 years,60,36,4
Ward 2,3340,PEMBINA,Less than 1 year,22,33,0
Ward 2,3340,PEMBINA,Child less than 1 year,2,3,0
Ward 2,3340,PEMBINA,No Response,33,15,41
Ward 2,3350,PRINCE CHARLES,5 years or more,408,56,2
Ward 2,3350,PRINCE CHARLES,No 3 years to less than 5 years,105,51,3
Ward 2,3350,PRINCE CHARLES,1 year to less than 3 years,64,89,0
Ward 2,3350,PRINCE CHARLES,Less than 1 year,51,131,0
Ward 2,3350,PRINCE CHARLES,Child less than 1 year,8,3,1
Ward 2,3350,PRINCE CHARLES,No Response,97,119,90
Ward 2,1170,PRINCE RUPERT,5 years or more,462,70,3
Ward 2,1170,PRINCE RUPERT,No 3 years to less than 5 years,99,74,0
Ward 2,1170,PRINCE RUPERT,1 year to less than 3 years,57,146,1
Ward 2,1170,PRINCE RUPERT,Less than 1 year,54,221,4
Ward 2,1170,PRINCE RUPERT,Child less than 1 year,6,5,0
Ward 2,1170,PRINCE RUPERT,No Response,8,38,71
Ward 2,3360,RAMPART INDUSTRIAL,5 years or more,0,0,0
Ward 2,3360,RAMPART INDUSTRIAL,No 3 years to less than 5 years,0,0,0
Ward 2,3360,RAMPART INDUSTRIAL,1 year to less than 3 years,0,0,0
Ward 2,3360,RAMPART INDUSTRIAL,Less than 1 year,0,0,0
Ward 2,3360,RAMPART INDUSTRIAL,Child less than 1 year,0,0,0
Ward 2,3360,RAMPART INDUSTRIAL,No Response,0,0,0
Ward 2,3390,ROSSLYN,5 years or more,1222,214,28
Ward 2,3390,ROSSLYN,No 3 years to less than 5 years,234,210,8
Ward 2,3390,ROSSLYN,1 year to less than 3 years,141,159,2
Ward 2,3390,ROSSLYN,Less than 1 year,101,218,2
Ward 2,3390,ROSSLYN,Child less than 1 year,11,11,0
Ward 2,3390,ROSSLYN,No Response,69,70,42
Ward 2,3400,RURAL NORTH WEST,5 years or more,0,0,0
Ward 2,3400,RURAL NORTH WEST,No 3 years to less than 5 years,0,0,0
Ward 2,3400,RURAL NORTH WEST,1 year to less than 3 years,0,0,0
Ward 2,3400,RURAL NORTH WEST,Less than 1 year,0,0,0
Ward 2,3400,RURAL NORTH WEST,Child less than 1 year,0,0,0
Ward 2,3400,RURAL NORTH WEST,No Response,0,0,0
Ward 2,3410,SHERBROOKE,5 years or more,909,113,14
Ward 2,3410,SHERBROOKE,No 3 years to less than 5 years,175,176,5
Ward 2,3410,SHERBROOKE,1 year to less than 3 years,109,284,7
Ward 2,3410,SHERBROOKE,Less than 1 year,87,210,6
Ward 2,3410,SHERBROOKE,Child less than 1 year,11,17,0
Ward 2,3410,SHERBROOKE,No Response,110,150,45
Ward 2,1230,SPRUCE AVENUE,5 years or more,357,132,12
Ward 2,1230,SPRUCE AVENUE,No 3 years to less than 5 years,80,184,6
Ward 2,1230,SPRUCE AVENUE,1 year to less than 3 years,51,236,6
Ward 2,1230,SPRUCE AVENUE,Less than 1 year,46,280,5
Ward 2,1230,SPRUCE AVENUE,Child less than 1 year,3,15,0
Ward 2,1230,SPRUCE AVENUE,No Response,47,214,425
Ward 2,3430,WELLINGTON,5 years or more,1404,191,39
Ward 2,3430,WELLINGTON,No 3 years to less than 5 years,200,224,7
Ward 2,3430,WELLINGTON,1 year to less than 3 years,124,302,9
Ward 2,3430,WELLINGTON,Less than 1 year,61,241,12
Ward 2,3430,WELLINGTON,Child less than 1 year,24,18,1
Ward 2,3430,WELLINGTON,No Response,73,172,25
Ward 2,1250,WESTWOOD,5 years or more,426,328,15
Ward 2,1250,WESTWOOD,No 3 years to less than 5 years,66,316,9
Ward 2,1250,WESTWOOD,1 year to less than 3 years,67,553,10
Ward 2,1250,WESTWOOD,Less than 1 year,44,835,14
Ward 2,1250,WESTWOOD,Child less than 1 year,5,19,0
Ward 2,1250,WESTWOOD,No Response,21,316,127
Ward 2,3450,WOODCROFT,5 years or more,733,482,9
Ward 2,3450,WOODCROFT,No 3 years to less than 5 years,121,265,0
Ward 2,3450,WOODCROFT,1 year to less than 3 years,63,254,5
Ward 2,3450,WOODCROFT,Less than 1 year,61,303,8
Ward 2,3450,WOODCROFT,Child less than 1 year,10,19,1
Ward 2,3450,WOODCROFT,No Response,153,95,10
Ward 2,1280,YELLOWHEAD CORRIDOR WEST,5 years or more,0,0,0
Ward 2,1280,YELLOWHEAD CORRIDOR WEST,No 3 years to less than 5 years,0,0,0
Ward 2,1280,YELLOWHEAD CORRIDOR WEST,1 year to less than 3 years,0,0,0
Ward 2,1280,YELLOWHEAD CORRIDOR WEST,Less than 1 year,0,0,0
Ward 2,1280,YELLOWHEAD CORRIDOR WEST,Child less than 1 year,0,0,0
Ward 2,1280,YELLOWHEAD CORRIDOR WEST,No Response,0,0,0
Ward 3,4016,ANTHONY HENDAY CASTLEDOWNS,5 years or more,0,0,0
Ward 3,4016,ANTHONY HENDAY CASTLEDOWNS,No 3 years to less than 5 years,0,0,0
Ward 3,4016,ANTHONY HENDAY CASTLEDOWNS,1 year to less than 3 years,0,0,0
Ward 3,4016,ANTHONY HENDAY CASTLEDOWNS,Less than 1 year,0,0,0
Ward 3,4016,ANTHONY HENDAY CASTLEDOWNS,Child less than 1 year,0,0,0
Ward 3,4016,ANTHONY HENDAY CASTLEDOWNS,No Response,0,0,0
Ward 3,4017,ANTHONY HENDAY LAKE DISTRICT,5 years or more,0,0,0
Ward 3,4017,ANTHONY HENDAY LAKE DISTRICT,No 3 years to less than 5 years,0,0,0
Ward 3,4017,ANTHONY HENDAY LAKE DISTRICT,1 year to less than 3 years,0,0,0
Ward 3,4017,ANTHONY HENDAY LAKE DISTRICT,Less than 1 year,0,0,0
Ward 3,4017,ANTHONY HENDAY LAKE DISTRICT,Child less than 1 year,0,0,0
Ward 3,4017,ANTHONY HENDAY LAKE DISTRICT,No Response,0,0,0
Ward 3,3030,BATURYN,5 years or more,2520,243,45
Ward 3,3030,BATURYN,No 3 years to less than 5 years,366,154,9
Ward 3,3030,BATURYN,1 year to less than 3 years,289,381,4
Ward 3,3030,BATURYN,Less than 1 year,174,289,8
Ward 3,3030,BATURYN,Child less than 1 year,32,26,1
Ward 3,3030,BATURYN,No Response,119,78,165
Ward 3,3040,BEAUMARIS,5 years or more,2363,204,9
Ward 3,3040,BEAUMARIS,No 3 years to less than 5 years,262,192,0
Ward 3,3040,BEAUMARIS,1 year to less than 3 years,217,305,1
Ward 3,3040,BEAUMARIS,Less than 1 year,130,349,6
Ward 3,3040,BEAUMARIS,Child less than 1 year,11,19,1
Ward 3,3040,BEAUMARIS,No Response,89,88,130
Ward 3,2050,BELLE RIVE,5 years or more,2788,84,18
Ward 3,2050,BELLE RIVE,No 3 years to less than 5 years,301,49,0
Ward 3,2050,BELLE RIVE,1 year to less than 3 years,215,73,4
Ward 3,2050,BELLE RIVE,Less than 1 year,120,82,4
Ward 3,2050,BELLE RIVE,Child less than 1 year,37,5,2
Ward 3,2050,BELLE RIVE,No Response,118,10,35
Ward 3,3080,CANOSSA,5 years or more,1397,13,3
Ward 3,3080,CANOSSA,No 3 years to less than 5 years,805,57,0
Ward 3,3080,CANOSSA,1 year to less than 3 years,323,40,2
Ward 3,3080,CANOSSA,Less than 1 year,166,91,0
Ward 3,3080,CANOSSA,Child less than 1 year,60,7,0
Ward 3,3080,CANOSSA,No Response,158,8,80
Ward 3,3120,CHAMBERY,5 years or more,1000,11,6
Ward 3,3120,CHAMBERY,No 3 years to less than 5 years,318,0,5
Ward 3,3120,CHAMBERY,1 year to less than 3 years,310,26,0
Ward 3,3120,CHAMBERY,Less than 1 year,237,30,4
Ward 3,3120,CHAMBERY,Child less than 1 year,36,1,0
Ward 3,3120,CHAMBERY,No Response,31,0,49
Ward 3,2210,CRYSTALLINA NERA,5 years or more,0,0,0
Ward 3,2210,CRYSTALLINA NERA,No 3 years to less than 5 years,0,0,0
Ward 3,2210,CRYSTALLINA NERA,1 year to less than 3 years,0,0,0
Ward 3,2210,CRYSTALLINA NERA,Less than 1 year,0,0,0
Ward 3,2210,CRYSTALLINA NERA,Child less than 1 year,0,0,0
Ward 3,2210,CRYSTALLINA NERA,No Response,0,0,0
Ward 3,3180,DUNLUCE,5 years or more,2666,373,5
Ward 3,3180,DUNLUCE,No 3 years to less than 5 years,375,261,2
Ward 3,3180,DUNLUCE,1 year to less than 3 years,292,559,6
Ward 3,3180,DUNLUCE,Less than 1 year,154,735,1
Ward 3,3180,DUNLUCE,Child less than 1 year,34,42,3
Ward 3,3180,DUNLUCE,No Response,206,238,400
Ward 3,2241,EAUX CLAIRES,5 years or more,1472,26,25
Ward 3,2241,EAUX CLAIRES,No 3 years to less than 5 years,350,38,9
Ward 3,2241,EAUX CLAIRES,1 year to less than 3 years,376,132,2
Ward 3,2241,EAUX CLAIRES,Less than 1 year,169,137,5
Ward 3,2241,EAUX CLAIRES,Child less than 1 year,28,3,1
Ward 3,2241,EAUX CLAIRES,No Response,135,38,111
Ward 3,3190,ELSINORE,5 years or more,1286,0,21
Ward 3,3190,ELSINORE,No 3 years to less than 5 years,239,6,5
Ward 3,3190,ELSINORE,1 year to less than 3 years,150,17,4
Ward 3,3190,ELSINORE,Less than 1 year,75,28,1
Ward 3,3190,ELSINORE,Child less than 1 year,15,0,0
Ward 3,3190,ELSINORE,No Response,180,4,100
Ward 3,2260,EVANSDALE,5 years or more,2048,563,26
Ward 3,2260,EVANSDALE,No 3 years to less than 5 years,287,467,15
Ward 3,2260,EVANSDALE,1 year to less than 3 years,186,664,7
Ward 3,2260,EVANSDALE,Less than 1 year,133,666,7
Ward 3,2260,EVANSDALE,Child less than 1 year,19,73,1
Ward 3,2260,EVANSDALE,No Response,126,245,122
Ward 3,2410,KILKENNY,5 years or more,2588,414,17
Ward 3,2410,KILKENNY,No 3 years to less than 5 years,302,321,13
Ward 3,2410,KILKENNY,1 year to less than 3 years,281,552,6
Ward 3,2410,KILKENNY,Less than 1 year,172,710,25
Ward 3,2410,KILKENNY,Child less than 1 year,27,40,1
Ward 3,2410,KILKENNY,No Response,60,129,45
Ward 3,2440,KLARVATTEN,5 years or more,2083,23,47
Ward 3,2440,KLARVATTEN,No 3 years to less than 5 years,1028,32,15
Ward 3,2440,KLARVATTEN,1 year to less than 3 years,524,119,17
Ward 3,2440,KLARVATTEN,Less than 1 year,250,94,1
Ward 3,2440,KLARVATTEN,Child less than 1 year,63,8,0
Ward 3,2440,KLARVATTEN,No Response,259,13,213
Ward 3,2450,LAGO LINDO,5 years or more,2499,69,8
Ward 3,2450,LAGO LINDO,No 3 years to less than 5 years,379,102,6
Ward 3,2450,LAGO LINDO,1 year to less than 3 years,306,122,0
Ward 3,2450,LAGO LINDO,Less than 1 year,176,134,3
Ward 3,2450,LAGO LINDO,Child less than 1 year,32,7,0
Ward 3,2450,LAGO LINDO,No Response,59,18,61
Ward 3,2461,LAKE DISTRICT NORTH EAST PORTION,5 years or more,0,0,0
Ward 3,2461,LAKE DISTRICT NORTH EAST PORTION,No 3 years to less than 5 years,0,0,0
Ward 3,2461,LAKE DISTRICT NORTH EAST PORTION,1 year to less than 3 years,0,0,0
Ward 3,2461,LAKE DISTRICT NORTH EAST PORTION,Less than 1 year,0,0,0
Ward 3,2461,LAKE DISTRICT NORTH EAST PORTION,Child less than 1 year,0,0,0
Ward 3,2461,LAKE DISTRICT NORTH EAST PORTION,No Response,0,0,0
Ward 3,3280,LORELEI,5 years or more,1902,230,15
Ward 3,3280,LORELEI,No 3 years to less than 5 years,271,184,2
Ward 3,3280,LORELEI,1 year to less than 3 years,186,305,4
Ward 3,3280,LORELEI,Less than 1 year,94,236,12
Ward 3,3280,LORELEI,Child less than 1 year,24,27,1
Ward 3,3280,LORELEI,No Response,183,169,173
Ward 3,2511,MAYLIEWAN,5 years or more,2874,34,20
Ward 3,2511,MAYLIEWAN,No 3 years to less than 5 years,438,41,0
Ward 3,2511,MAYLIEWAN,1 year to less than 3 years,272,57,3
Ward 3,2511,MAYLIEWAN,Less than 1 year,133,44,2
Ward 3,2511,MAYLIEWAN,Child less than 1 year,28,4,0
Ward 3,2511,MAYLIEWAN,No Response,168,13,68
Ward 3,2600,OZERNA,5 years or more,2847,52,27
Ward 3,2600,OZERNA,No 3 years to less than 5 years,425,60,10
Ward 3,2600,OZERNA,1 year to less than 3 years,239,78,0
Ward 3,2600,OZERNA,Less than 1 year,163,63,2
Ward 3,2600,OZERNA,Child less than 1 year,28,3,0
Ward 3,2600,OZERNA,No Response,343,38,117
Ward 3,3370,RAPPERSWILL,5 years or more,0,0,0
Ward 3,3370,RAPPERSWILL,No 3 years to less than 5 years,0,0,0
Ward 3,3370,RAPPERSWILL,1 year to less than 3 years,0,0,0
Ward 3,3370,RAPPERSWILL,Less than 1 year,0,0,0
Ward 3,3370,RAPPERSWILL,Child less than 1 year,0,0,0
Ward 3,3370,RAPPERSWILL,No Response,0,0,0
Ward 3,2700,SCHONSEE,5 years or more,290,7,0
Ward 3,2700,SCHONSEE,No 3 years to less than 5 years,442,4,5
Ward 3,2700,SCHONSEE,1 year to less than 3 years,398,13,1
Ward 3,2700,SCHONSEE,Less than 1 year,335,14,0
Ward 3,2700,SCHONSEE,Child less than 1 year,35,1,0
Ward 3,2700,SCHONSEE,No Response,107,4,56
Ward 4,2030,BANNERMAN,5 years or more,1350,137,6
Ward 4,2030,BANNERMAN,No 3 years to less than 5 years,200,163,2
Ward 4,2030,BANNERMAN,1 year to less than 3 years,145,271,0
Ward 4,2030,BANNERMAN,Less than 1 year,106,418,1
Ward 4,2030,BANNERMAN,Child less than 1 year,17,24,0
Ward 4,2030,BANNERMAN,No Response,38,67,99
Ward 4,2070,BELMONT,5 years or more,1981,329,39
Ward 4,2070,BELMONT,No 3 years to less than 5 years,441,365,15
Ward 4,2070,BELMONT,1 year to less than 3 years,221,409,11
Ward 4,2070,BELMONT,Less than 1 year,165,548,12
Ward 4,2070,BELMONT,Child less than 1 year,32,27,0
Ward 4,2070,BELMONT,No Response,299,201,105
Ward 4,2080,BELVEDERE,5 years or more,1451,443,25
Ward 4,2080,BELVEDERE,No 3 years to less than 5 years,298,400,1
Ward 4,2080,BELVEDERE,1 year to less than 3 years,305,538,31
Ward 4,2080,BELVEDERE,Less than 1 year,153,640,11
Ward 4,2080,BELVEDERE,Child less than 1 year,29,33,1
Ward 4,2080,BELVEDERE,No Response,137,332,182
Ward 4,2110,BRINTNELL,5 years or more,1385,21,19
Ward 4,2110,BRINTNELL,No 3 years to less than 5 years,1453,116,20
Ward 4,2110,BRINTNELL,1 year to less than 3 years,706,128,15
Ward 4,2110,BRINTNELL,Less than 1 year,304,125,17
Ward 4,2110,BRINTNELL,Child less than 1 year,97,8,6
Ward 4,2110,BRINTNELL,No Response,376,51,326
Ward 4,2120,CANON RIDGE,5 years or more,462,89,10
Ward 4,2120,CANON RIDGE,No 3 years to less than 5 years,282,124,2
Ward 4,2120,CANON RIDGE,1 year to less than 3 years,289,205,9
Ward 4,2120,CANON RIDGE,Less than 1 year,117,193,6
Ward 4,2120,CANON RIDGE,Child less than 1 year,17,14,0
Ward 4,2120,CANON RIDGE,No Response,59,59,87
Ward 4,2130,CASSELMAN,5 years or more,1220,178,12
Ward 4,2130,CASSELMAN,No 3 years to less than 5 years,213,216,9
Ward 4,2130,CASSELMAN,1 year to less than 3 years,222,309,7
Ward 4,2130,CASSELMAN,Less than 1 year,134,287,22
Ward 4,2130,CASSELMAN,Child less than 1 year,14,17,0
Ward 4,2130,CASSELMAN,No Response,87,238,220
Ward 4,2145,CLAREVIEW TOWN CENTRE,5 years or more,321,66,0
Ward 4,2145,CLAREVIEW TOWN CENTRE,No 3 years to less than 5 years,538,211,2
Ward 4,2145,CLAREVIEW TOWN CENTRE,1 year to less than 3 years,298,521,7
Ward 4,2145,CLAREVIEW TOWN CENTRE,Less than 1 year,185,660,10
Ward 4,2145,CLAREVIEW TOWN CENTRE,Child less than 1 year,14,19,0
Ward 4,2145,CLAREVIEW TOWN CENTRE,No Response,71,132,175
Ward 4,2160,CLOVER BAR AREA,5 years or more,0,0,0
Ward 4,2160,CLOVER BAR AREA,No 3 years to less than 5 years,0,0,0
Ward 4,2160,CLOVER BAR AREA,1 year to less than 3 years,0,0,0
Ward 4,2160,CLOVER BAR AREA,Less than 1 year,0,0,0
Ward 4,2160,CLOVER BAR AREA,Child less than 1 year,0,0,0
Ward 4,2160,CLOVER BAR AREA,No Response,0,0,0
Ward 4,2251,EBBERS,5 years or more,0,0,0
Ward 4,2251,EBBERS,No 3 years to less than 5 years,0,0,0
Ward 4,2251,EBBERS,1 year to less than 3 years,0,0,0
Ward 4,2251,EBBERS,Less than 1 year,0,0,0
Ward 4,2251,EBBERS,Child less than 1 year,0,0,0
Ward 4,2251,EBBERS,No Response,0,0,0
Ward 4,2270,EVERGREEN,5 years or more,689,12,11
Ward 4,2270,EVERGREEN,No 3 years to less than 5 years,156,1,1
Ward 4,2270,EVERGREEN,1 year to less than 3 years,128,38,1
Ward 4,2270,EVERGREEN,Less than 1 year,97,36,0
Ward 4,2270,EVERGREEN,Child less than 1 year,13,1,0
Ward 4,2270,EVERGREEN,No Response,248,6,12
Ward 4,2280,FRASER,5 years or more,1613,125,5
Ward 4,2280,FRASER,No 3 years to less than 5 years,256,104,6
Ward 4,2280,FRASER,1 year to less than 3 years,200,225,9
Ward 4,2280,FRASER,Less than 1 year,106,278,9
Ward 4,2280,FRASER,Child less than 1 year,19,10,1
Ward 4,2280,FRASER,No Response,96,52,163
Ward 4,2311,GORMAN,5 years or more,0,0,0
Ward 4,2311,GORMAN,No 3 years to less than 5 years,0,0,0
Ward 4,2311,GORMAN,1 year to less than 3 years,0,0,0
Ward 4,2311,GORMAN,Less than 1 year,0,0,0
Ward 4,2311,GORMAN,Child less than 1 year,0,0,0
Ward 4,2311,GORMAN,No Response,0,0,0
Ward 4,2320,HAIRSINE,5 years or more,893,150,4
Ward 4,2320,HAIRSINE,No 3 years to less than 5 years,178,168,0
Ward 4,2320,HAIRSINE,1 year to less than 3 years,105,338,6
Ward 4,2320,HAIRSINE,Less than 1 year,85,296,0
Ward 4,2320,HAIRSINE,Child less than 1 year,7,21,1
Ward 4,2320,HAIRSINE,No Response,49,79,85
Ward 4,2340,HOLLICK-KENYON,5 years or more,2391,13,40
Ward 4,2340,HOLLICK-KENYON,No 3 years to less than 5 years,934,48,11
Ward 4,2340,HOLLICK-KENYON,1 year to less than 3 years,768,82,11
Ward 4,2340,HOLLICK-KENYON,Less than 1 year,313,105,1
Ward 4,2340,HOLLICK-KENYON,Child less than 1 year,63,6,0
Ward 4,2340,HOLLICK-KENYON,No Response,328,30,57
Ward 4,2350,HOMESTEADER,5 years or more,1117,263,22
Ward 4,2350,HOMESTEADER,No 3 years to less than 5 years,159,295,4
Ward 4,2350,HOMESTEADER,1 year to less than 3 years,120,324,5
Ward 4,2350,HOMESTEADER,Less than 1 year,71,479,0
Ward 4,2350,HOMESTEADER,Child less than 1 year,18,36,0
Ward 4,2350,HOMESTEADER,No Response,85,190,85
Ward 4,2380,KENNEDALE INDUSTRIAL,5 years or more,0,0,0
Ward 4,2380,KENNEDALE INDUSTRIAL,No 3 years to less than 5 years,0,0,0
Ward 4,2380,KENNEDALE INDUSTRIAL,1 year to less than 3 years,0,0,0
Ward 4,2380,KENNEDALE INDUSTRIAL,Less than 1 year,0,0,0
Ward 4,2380,KENNEDALE INDUSTRIAL,Child less than 1 year,0,0,0
Ward 4,2380,KENNEDALE INDUSTRIAL,No Response,0,0,0
Ward 4,2390,KERNOHAN,5 years or more,1754,69,16
Ward 4,2390,KERNOHAN,No 3 years to less than 5 years,213,113,6
Ward 4,2390,KERNOHAN,1 year to less than 3 years,180,151,3
Ward 4,2390,KERNOHAN,Less than 1 year,127,165,0
Ward 4,2390,KERNOHAN,Child less than 1 year,22,13,1
Ward 4,2390,KERNOHAN,No Response,61,34,138
Ward 4,2430,KIRKNESS,5 years or more,1432,258,11
Ward 4,2430,KIRKNESS,No 3 years to less than 5 years,304,270,6
Ward 4,2430,KIRKNESS,1 year to less than 3 years,218,333,2
Ward 4,2430,KIRKNESS,Less than 1 year,138,288,7
Ward 4,2430,KIRKNESS,Child less than 1 year,13,24,0
Ward 4,2430,KIRKNESS,No Response,132,144,157
Ward 4,2500,MATT BERRY,5 years or more,2424,12,55
Ward 4,2500,MATT BERRY,No 3 years to less than 5 years,452,35,10
Ward 4,2500,MATT BERRY,1 year to less than 3 years,384,59,14
Ward 4,2500,MATT BERRY,Less than 1 year,130,96,4
